step_id,audience,route,screen_name,layout_family,desktop_reference_png,desktop_reference_html,mobile_reference_png,components_from_authoritative_matrix,required_states,visual_rule,success_evidence
S18,Staff,/work/tasks/{id},Task detail,work-queue,references/08-work-queue.png,prototype/screens/08-work-queue.html,references/28-mobile-home.png,TaskHeader; OutcomeForm; SourceContext; TaskHistory,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S18,Staff,/work/approvals,Approval queue,work-queue,references/08-work-queue.png,prototype/screens/08-work-queue.html,references/28-mobile-home.png,ApprovalTable; DeadlineBadges; SnapshotDiff,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S18,Staff,/work/approvals/{id},Approval decision,work-queue,references/08-work-queue.png,prototype/screens/08-work-queue.html,references/28-mobile-home.png,ApprovalHeader; SnapshotViewer; DiffPanel; DecisionForm,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S18,Staff,/work/calendar,CRM calendar,work-queue,references/08-work-queue.png,prototype/screens/08-work-queue.html,references/28-mobile-home.png,CalendarToolbar; DayWeekMonthGrid; AccessibleAgenda,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S16,Staff,/search,Universal search,search-results,references/04-universal-search.png,prototype/screens/04-universal-search.html,references/29-mobile-customer.png,SearchBox; TypeFilters; ResultsByType; KeyboardNavigator,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S18,Staff,/notifications,Notifications,work-queue,references/08-work-queue.png,prototype/screens/08-work-queue.html,references/28-mobile-home.png,NotificationList; SeverityFilter; AcknowledgeAction,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S14,Staff,/customers,Customer organizations,data-table-list,references/05-customer-list.png,prototype/screens/05-customer-list.html,references/27-responsive-data-pattern.png,CustomerFilters; OrganizationTable; SavedViews; CreateButton,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S14,Staff,/customers/new,Create organization,customer-360-tab,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,OrganizationForm; DuplicateCandidatePanel; ConsentNotice,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S16,Staff,/customers/{id},Customer 360 overview,customer-360-tab,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,CustomerHeader; LifecycleBadge; OwnerCard; NextActionCard; AlertStack; SummaryTabs,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S16,Staff,/customers/{id}/timeline,Timeline,customer-tab-timeline,references/07-customer-timeline.png,prototype/screens/07-customer-timeline.html,references/29-mobile-customer.png,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S16,Staff,/customers/{id}/sales,Sales tab,customer-360-tab,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S16,Staff,/customers/{id}/onboarding,Onboarding tab,customer-360-tab,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S16,Staff,/customers/{id}/support,Support tab,customer-360-tab,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S16,Staff,/customers/{id}/feedback,Feedback tab,customer-360-tab,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S16,Staff,/customers/{id}/success,Success tab,customer-360-tab,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S11,Staff,/customers/{id}/files,Files tab,customer-tab-files,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S17,Staff,/customers/{id}/governance,Governance tab,customer-360-tab,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S14,Staff,/contacts,Contacts,contact-list-or-detail,references/05-customer-list.png,prototype/screens/05-customer-list.html,references/29-mobile-customer.png,ContactFilters; ContactTable; RelationshipBadges,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S14,Staff,/contacts/new,Create contact,contact-list-or-detail,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,ContactForm; ContactPointRepeater; RelationshipForm; DuplicatePanel,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S14,Staff,/contacts/{id},Contact detail,contact-list-or-detail,references/06-customer-360.png,prototype/screens/06-customer-360.html,references/29-mobile-customer.png,ContactHeader; RelationshipTimeline; ContactPoints; ConsentSummary; ActivityList,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S17,Staff,/duplicates,Duplicate review,generic-shell,references/00-design-system.png,prototype/screens/00-design-system.html,references/27-responsive-data-pattern.png,CandidateTable; EvidenceComparison; ConflictGrid; MergePreview; DecisionDialog,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S17,Staff,/data-quality,Data quality exceptions,generic-shell,references/00-design-system.png,prototype/screens/00-design-system.html,references/27-responsive-data-pattern.png,RuleSummary; IssueTable; FieldEvidence; ResolutionForm,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S19,Staff,/sales/leads,Lead queue,lead-list-or-detail,references/05-customer-list.png,prototype/screens/05-customer-list.html,references/28-mobile-home.png,LeadFilters; SLAColumn; ReasonBadges; LeadTable; BulkBoundedActions,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S19,Staff,/sales/leads/new,Create lead,lead-list-or-detail,references/05-customer-list.png,prototype/screens/05-customer-list.html,references/28-mobile-home.png,LeadIntakeForm; CustomerMatchPanel; ConsentEvidence,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S19,Staff,/sales/leads/{id},Lead workspace,lead-list-or-detail,references/09-lead-workspace.png,prototype/screens/09-lead-workspace.html,references/28-mobile-home.png,LeadHeader; QualificationPanel; Timeline; ScoreExplanation; NextAction; SequenceStatus,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S20,Staff,/sales/opportunities,Opportunity list,opportunity-list-or-detail,references/05-customer-list.png,prototype/screens/05-customer-list.html,references/29-mobile-customer.png,OpportunityFilters; Table; ForecastBadges; RiskReasons; SavedViews,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S20,Staff,/sales/pipeline,Pipeline board,pipeline-board,references/10-opportunity-pipeline.png,prototype/screens/10-opportunity-pipeline.html,references/27-responsive-data-pattern.png,StageColumns; OpportunityCards; KeyboardMoveDialog; StageTotals,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S20,Staff,/sales/opportunities/{id},Opportunity workspace,opportunity-list-or-detail,references/11-opportunity-workspace.png,prototype/screens/11-opportunity-workspace.html,references/29-mobile-customer.png,OpportunityHeader; StageStepper; StakeholderPanel; LineItems; RiskPanel; QuoteList; Timeline,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S21,Staff,/sales/quotes,Quotes,quote-version-and-approval,references/12-quote-approval.png,prototype/screens/12-quote-approval.html,references/27-responsive-data-pattern.png,QuoteFilters; QuoteTable; ApprovalState; ExpiryBadges,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S21,Staff,/sales/quotes/{id},Quote editor and evidence,quote-version-and-approval,references/12-quote-approval.png,prototype/screens/12-quote-approval.html,references/27-responsive-data-pattern.png,QuoteHeader; VersionSwitcher; LineEditor; Totals; ApprovalPanel; DeliveryEvidence,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S20,Staff,/sales/catalog,Product and service catalogue,sales-configuration,references/11-opportunity-workspace.png,prototype/screens/11-opportunity-workspace.html,references/27-responsive-data-pattern.png,CatalogueTable; VersionForm; MappingPanel,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S20,Staff,/sales/pipelines,Pipeline configuration,sales-configuration,references/11-opportunity-workspace.png,prototype/screens/11-opportunity-workspace.html,references/27-responsive-data-pattern.png,PipelineList; StageEditor; TransitionMatrix; DependencyPanel,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S33,Manager,/sales/forecast,Forecast dashboard,forecast-dashboard,references/21-reports-dashboard.png,prototype/screens/21-reports-dashboard.html,references/27-responsive-data-pattern.png,ForecastCards; CurrencyBasis; StageChart; ExceptionTable,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S24,Staff,/messaging/inbox,CRM inbox,message-thread,references/13-email-thread.png,prototype/screens/13-email-thread.html,references/30-mobile-ticket.png,MailboxFilter; ThreadList; UnreadAge; MatchConfidence; CustomerContext,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S24,Staff,/messaging/threads/{id},Email thread,message-thread,references/13-email-thread.png,prototype/screens/13-email-thread.html,references/30-mobile-ticket.png,ThreadHeader; MessageStream; SafeHtmlViewer; AttachmentList; ReplyComposer; MatchReview,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S22,Staff,/messaging/drafts,Draft queue,messaging-list-or-editor,references/13-email-thread.png,prototype/screens/13-email-thread.html,references/27-responsive-data-pattern.png,DraftFilters; DraftTable; PurposeBadges; ApprovalState,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S22,Staff,/messaging/drafts/{id},Controlled email draft,messaging-list-or-editor,references/13-email-thread.png,prototype/screens/13-email-thread.html,references/27-responsive-data-pattern.png,RecipientPanel; BlockComposer; PlainHtmlPreview; PolicyChecklist; ApprovalPanel,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S22,Staff,/messaging/templates,Templates,messaging-list-or-editor,references/13-email-thread.png,prototype/screens/13-email-thread.html,references/27-responsive-data-pattern.png,TemplateTable; PurposeFilter; VersionBadges,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S22,Staff,/messaging/templates/{id},Template editor,messaging-list-or-editor,references/13-email-thread.png,prototype/screens/13-email-thread.html,references/27-responsive-data-pattern.png,TemplateEditor; VariableDictionary; PreviewContexts; Diff; Approval,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S23,Operations,/messaging/outbox,Outbox,outbox-evidence,references/15-automation-run.png,prototype/screens/15-automation-run.html,references/27-responsive-data-pattern.png,OutboxFilters; StateTable; PolicyResult; AttemptCount,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S23,Operations,/messaging/outbox/{id},Outbox evidence,outbox-evidence,references/15-automation-run.png,prototype/screens/15-automation-run.html,references/27-responsive-data-pattern.png,OutboxHeader; RecipientList; PolicyEvidence; AttemptTimeline; AmbiguityPanel,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S22,Admin,/messaging/mailboxes,Mailbox administration,messaging-list-or-editor,references/13-email-thread.png,prototype/screens/13-email-thread.html,references/27-responsive-data-pattern.png,MailboxTable; SecretReferenceForm; TestPanel; HealthBadges,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S15,Admin,/messaging/suppressions,Communication suppression,messaging-list-or-editor,references/13-email-thread.png,prototype/screens/13-email-thread.html,references/27-responsive-data-pattern.png,SuppressionTable; EvidenceDrawer; CreateHoldForm,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S25,Admin,/automation,Automation definitions,automation-list-or-detail,references/14-automation-builder.png,prototype/screens/14-automation-builder.html,references/27-responsive-data-pattern.png,WorkflowTable; StateBadges; OwnerFilter; DependencyWarnings,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S25,Admin,/automation/new,Create workflow definition,workflow-builder,references/14-automation-builder.png,prototype/screens/14-automation-builder.html,references/27-responsive-data-pattern.png,WorkflowMetadataForm; PurposeClassification; OwnerPicker,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S25,Admin,/automation/{id},Automation overview,automation-list-or-detail,references/14-automation-builder.png,prototype/screens/14-automation-builder.html,references/27-responsive-data-pattern.png,WorkflowHeader; VersionList; DependencyGraph; Metrics; ChangeHistory,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S25,Admin,/automation/{id}/builder,Workflow builder,workflow-builder,references/14-automation-builder.png,prototype/screens/14-automation-builder.html,references/27-responsive-data-pattern.png,TriggerEditor; ConditionTree; StepList; DelayEditor; ExitEditor; ConflictPolicy; ValidationPanel,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S25,Admin,/automation/{id}/simulate,Workflow simulation,workflow-builder,references/14-automation-builder.png,prototype/screens/14-automation-builder.html,references/27-responsive-data-pattern.png,RecordPicker; SnapshotSelector; SimulationTrace; GuardResults; DateTimeline,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S26,Operations,/automation/runs,Workflow runs,automation-runtime,references/15-automation-run.png,prototype/screens/15-automation-run.html,references/27-responsive-data-pattern.png,RunFilters; RunTable; State/ExitBadges,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S26,Operations,/automation/runs/{id},Workflow run trace,automation-runtime,references/15-automation-run.png,prototype/screens/15-automation-run.html,references/27-responsive-data-pattern.png,RunHeader; ExecutionTrace; SubjectLink; JobList; HumanReadableHistory,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
S26,Operations,/automation/jobs,Scheduled jobs,automation-runtime,references/15-automation-run.png,prototype/screens/15-automation-run.html,references/27-responsive-data-pattern.png,JobFilters; JobTable; LeaseState; RetryTimeline,default; loading; empty; validation; permission; dependency failure; conflict when mutable,"Do not invent a new visual language. Reuse the referenced layout family, design tokens and component catalogue; adapt only content and domain-specific fields.","Desktop + 360px screenshot, keyboard pass, 200% zoom pass, route authorization tests, and visual review against reference."
