step_id,domain,service,responsibility,inputs,outputs,tables,transaction_boundary,events_and_jobs,authorization_policy,failure_handling,tests,success_criteria
S12,governance,ConfigurationService,"Validate, checksum, schedule, activate and roll back versioned company configuration.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"configuration_versions, feature_flags","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S12,policy,BusinessCalendarService,"Calculate business minutes, holidays, DST-safe due times and SLA intervals.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"business_calendars, sla_policies","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S10,governance,AuditService,"Append tamper-evident business/security evidence with actor, target, reason, diff/hash and correlation.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"audit_events, audit_manifests","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S09,accounts,AuthorizationService,"Apply capability, record scope, field sensitivity, contextual constraints and portal boundary to every read/action.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"roles, capabilities, user_roles, record_grants, teams, queues","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S07,accounts,InvitationService,"Issue, resend, expire and consume single-use staff/portal invitations without public registration.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"staff_invitations, portal_invitations, users","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S07,accounts,AuthenticationService,"Normalize email, verify password, throttle failures and establish provisional/full server-side sessions.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"users, login_throttles, auth_events, user_sessions","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S07,accounts,PasswordResetService,"Create non-enumerating signed reset intents, consume once and revoke relevant sessions.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"users, auth_events, user_sessions","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S08,accounts,MfaService,"Enroll and verify TOTP, hash recovery codes, enforce role policy and audit resets.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"mfa_devices, mfa_recovery_codes, auth_events","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S08,accounts,SessionService,"List, touch, rotate and revoke server-side sessions with idle/absolute expiry.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"user_sessions, auth_events","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S08,accounts,StepUpService,Require fresh password/MFA proof before privileged actions while preserving intended command context.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"user_sessions, auth_events","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S09,accounts,RoleService,Create versioned least-privilege role bundles and prevent grant beyond actor authority.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"roles, capabilities, role_capabilities, user_roles","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S09,accounts,TeamQueueService,"Manage effective-dated teams, queues, membership, claim eligibility and capacity.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"teams, team_members, work_queues, queue_memberships","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S09,accounts,DelegationService,Create time-bounded scoped delegation without rewriting historical ownership.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,delegations,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S09,accounts,RecordGrantService,"Grant exceptional object scope with reason, expiry and authority ceiling.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,record_grants,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S09,accounts,OffboardingService,"Inventory and reassign work, approvals, jobs and portal grants before user disable and session revocation.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"users, user_roles, tasks, approval_requests, scheduled_jobs, delegations, user_sessions","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S14,crm,NormalizationService,"Normalize name, email, phone, domain and address deterministically while retaining display values.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"organizations, contacts, contact_points, addresses","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S14,crm,OrganizationService,"Create/update canonical organization identity, ownership and derived lifecycle override evidence.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,organizations,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S14,crm,ContactService,Create/update canonical person identity independent of employer relationship.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,contacts,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S14,crm,RelationshipService,"Manage effective-dated contact-to-organization roles, influence and primary relation.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,contact_organizations,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S14,crm,ContactPointService,Manage typed verified/suppressible email and phone values with primary uniqueness.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,contact_points,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S15,crm,ConsentService,Append purpose/channel evidence and maintain effective projection without overwriting history.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,consent_preferences,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S15,crm,PreferenceService,Update customer choice immediately and expose only permitted preference controls.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"consent_preferences, communication_policy_versions","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S15,crm,SuppressionService,"Apply global/address/channel/purpose holds, bounce evidence and timed recovery holds by precedence.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,suppression_entries,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S16,crm,Customer360Selector,Assemble permission-aware overview from source domains without copying operational truth.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"organizations, contacts, opportunities, tickets, onboarding_cases, feedback_responses, health_snapshots, renewals","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S16,crm,TimelineProjector,Create normalized deep-linkable timeline projections from committed source events.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"timeline_events, domain_events","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S16,crm,UniversalSearchService,Search normalized indexed fields across allowed types after actor scope is applied.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"organizations, contacts, leads, opportunities, tickets, onboarding_cases, email_messages","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S16,crm,NoteService,Create structured sanitized notes with explicit internal/restricted/portal visibility and correction history.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"notes, timeline_events","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S11,crm,FileAssetService,"Validate extension/signature/size, persist metadata, link business records and mediate audited download.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,file_assets,"Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S12,crm,CustomFieldService,Manage versioned typed definitions and validate values/visibility/dependencies.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"custom_field_definitions, custom_field_values","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S12,crm,TagService,Manage governed stable tags and type-restricted assignments.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"tags, entity_tags","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S17,crm,DuplicateDetectionService,Generate explainable exact/fuzzy candidate pairs without automatic merge.,Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"duplicate_candidates, organizations, contacts, contact_points","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
S17,crm,MergeService,"Preview field/relationship conflicts, atomically re-parent safe references, preserve aliases and reversible mapping.",Validated command + actor context + expected version,Typed result + changed public ID/version + domain event IDs + correlation ID,"merge_records, organizations, contacts and dependent foreign keys","Owns one short transaction for current state, append-only history, audit and durable event/outbox intent.",Emits typed domain events; schedules bounded jobs only after durable intent exists.,"Calls central capability, record-scope, field and contextual policy before mutation or disclosure.",Raises typed validation/policy/conflict errors; rolls back atomically; classifies retryable external work; never hides partial results.,Unit boundary/invalid cases; MySQL/MariaDB integration; authorization; concurrency/idempotency; failure injection.,"One authoritative implementation path is shared by HTML, API, imports and jobs; invariants cannot be bypassed; evidence is reproducible."
