method,path,tag,operation_id,summary,auth,success,if_match,idempotency_key,async_job,query_parameters,notes,step_id,p95_ms,p99_ms,max_db_queries,max_request_kb,max_response_kb,max_page_size,example_query_string,query_plan,required_indexes,cache_policy,request_example,response_example,required_headers,expected_errors,success_criteria,request_media_type,response_media_type,transaction_timeout_ms,rate_limit_policy
POST,/tasks/{id}/delegate,Work,postTasksIdDelegate,Delegate an open task within allowed scope and interval,staff,201,True,True,False,,,S18,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM tasks with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, due_at, priority, public_id); INDEX(queue_id, state, due_at, public_id)","private, no-store","{""data"":{""type"":""task"",""attributes"":{""subject"":""Call prospect about technical requirements"",""state"":""OPEN"",""priority"":""HIGH"",""owner_id"":""01K2OWNER000000000000000001"",""due_at"":""2026-07-15T09:00:00Z""}}}","{""data"":{""type"":""task"",""id"":""01K2TASK000000000000000000"",""version"":8,""attributes"":{""subject"":""Call prospect about technical requirements"",""state"":""OPEN"",""priority"":""HIGH"",""owner_id"":""01K2OWNER000000000000000001"",""due_at"":""2026-07-15T09:00:00Z"",""last_action"":""DELEGATE"",""updated_at"":""2026-07-14T08:00:01Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}","Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7"" | Idempotency-Key: <UUID> | Content-Type: application/json",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
POST,/tasks/{id}/snooze,Work,snoozeTask,Policy-bounded task snooze,staff,200,True,True,False,,,S18,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM tasks with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, due_at, priority, public_id); INDEX(queue_id, state, due_at, public_id)","private, no-store","{""data"":{""type"":""task"",""attributes"":{""subject"":""Call prospect about technical requirements"",""state"":""OPEN"",""priority"":""HIGH"",""owner_id"":""01K2OWNER000000000000000001"",""due_at"":""2026-07-15T09:00:00Z""}}}","{""data"":{""type"":""task"",""id"":""01K2TASK000000000000000000"",""version"":8,""attributes"":{""subject"":""Call prospect about technical requirements"",""state"":""OPEN"",""priority"":""HIGH"",""owner_id"":""01K2OWNER000000000000000001"",""due_at"":""2026-07-15T09:00:00Z"",""last_action"":""SNOOZE"",""updated_at"":""2026-07-14T08:00:01Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}","Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7"" | Idempotency-Key: <UUID> | Content-Type: application/json",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
GET,/work-queue,Work,listWorkQueue,List the operational home queue ordered by transparent rank,staff,200,False,False,False,"Cursor,Limit,Filter,Sort",,S18,1500,3200,18,16,512,100,?page[after]=01K2CURSOR0000000000000000&page[size]=25&sort=-updated_at&filter[state]=OPEN,"SELECT allowlisted list columns FROM work_queues WHERE actor_scope_predicate AND active_predicate AND (updated_at, public_id) < (?, ?) ORDER BY updated_at DESC, public_id DESC LIMIT 26; batch-load only requested allowlisted relationships.","UNIQUE(public_id); INDEX(state, updated_at, public_id); INDEX(updated_at, public_id)","private, no-store",,"{""data"":[{""type"":""work-queue"",""id"":""01K2WORKQUEU00000000000000"",""version"":7,""attributes"":{""state"":""ACTIVE"",""name"":""Work Queue""}}],""links"":{""self"":""/api/v1/work-queue?page[after]=01K2CURSOR0000000000000000&page[size]=25&sort=-updated_at&filter[state]=OPEN"",""next"":""/api/v1/work-queue?page[after]=01K2NEXT00000000000000000&page[size]=25""},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""page_size"":25,""has_more"":true}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque>,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1500 ms and p99 ≤3200 ms on the representative mixed workload, uses ≤18 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",none,application/json,2500,staff per-session plus global resource guard
POST,/work-queue/{id}/claim,Work,claimWorkItem,Atomically claim a shared queue item,staff,200,False,True,False,,,S18,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM claims with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""data"":{""type"":""command"",""attributes"":{""reason_code"":""APPROVED_OPERATION"",""comment"":""Evidence reviewed."",""expected_version"":7}}}","{""data"":{""type"":""claim"",""id"":""01K2CLAIM00000000000000000"",""version"":8,""attributes"":{""state"":""CLAIMED"",""name"":""Claim"",""last_action"":""CLAIM"",""updated_at"":""2026-07-14T08:00:01Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | Idempotency-Key: <UUID> | Content-Type: application/json,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
POST,/work-queue/{id}/release,Work,postWorkQueueIdRelease,Release a claimed queue item safely,staff,200,True,True,False,,,S18,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM releases with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.",UNIQUE(public_id),"private, no-store","{""data"":{""type"":""command"",""attributes"":{""reason_code"":""APPROVED_OPERATION"",""comment"":""Evidence reviewed."",""expected_version"":7}}}","{""data"":{""type"":""release"",""id"":""01K2RELEASE000000000000000"",""version"":8,""attributes"":{""state"":""RELEASED"",""name"":""Release"",""last_action"":""RELEASE"",""updated_at"":""2026-07-14T08:00:01Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}","Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7"" | Idempotency-Key: <UUID> | Content-Type: application/json",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
GET,/leads,Sales,listLeads,List leads,staff,200,False,False,False,"Cursor,Limit,Sort,Filter,Fields,Include",,S19,1500,3200,18,16,512,100,?page[after]=01K2CURSOR0000000000000000&page[size]=25&sort=-updated_at&filter[state]=OPEN,"SELECT allowlisted list columns FROM leads WHERE actor_scope_predicate AND active_predicate AND (updated_at, public_id) < (?, ?) ORDER BY updated_at DESC, public_id DESC LIMIT 26; batch-load only requested allowlisted relationships.","UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store",,"{""data"":[{""type"":""lead"",""id"":""01K2LEAD000000000000000000"",""version"":7,""attributes"":{""state"":""NEW"",""source_code"":""WEB_INQUIRY"",""priority"":""NORMAL"",""owner_id"":""01K2OWNER000000000000000001"",""first_response_due_at"":""2026-07-14T11:00:00Z"",""next_action_at"":""2026-07-14T10:30:00Z""}}],""links"":{""self"":""/api/v1/leads?page[after]=01K2CURSOR0000000000000000&page[size]=25&sort=-updated_at&filter[state]=OPEN"",""next"":""/api/v1/leads?page[after]=01K2NEXT00000000000000000&page[size]=25""},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""page_size"":25,""has_more"":true}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque>,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1500 ms and p99 ≤3200 ms on the representative mixed workload, uses ≤18 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",none,application/json,2500,staff per-session plus global resource guard
POST,/leads,Sales,createLeads,Create a lead,staff,201,False,True,False,,,S19,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM leads with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store","{""data"":{""type"":""lead"",""attributes"":{""source_code"":""WEB_INQUIRY"",""service_interest_code"":""MANAGED_HOSTING"",""priority"":""NORMAL"",""contact_id"":""01K2CONTACT0000000000000000"",""organization_id"":""01K2ORGANIZA000000000000000"",""owner_id"":""01K2OWNER000000000000000001"",""next_action_at"":""2026-07-14T10:30:00Z""}}}","{""data"":{""type"":""lead"",""id"":""01K2LEAD000000000000000000"",""version"":1,""attributes"":{""state"":""NEW"",""source_code"":""WEB_INQUIRY"",""priority"":""NORMAL"",""owner_id"":""01K2OWNER000000000000000001"",""first_response_due_at"":""2026-07-14T11:00:00Z"",""next_action_at"":""2026-07-14T10:30:00Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | Idempotency-Key: <UUID> | Content-Type: application/json,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
DELETE,/leads/{id},Sales,deleteLeads,Soft-delete or cancel one lead,staff,204,True,False,False,,,S19,1800,3500,22,16,512,0,,"BEGIN; SELECT target rows FROM leads with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store","{""reason_code"":""ADMIN_RETIRE"",""comment"":""Reviewed and approved.""}",,"Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7""",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",application/json,none,5000,staff per-session plus global resource guard
GET,/leads/{id},Sales,getLeads,Get one lead,staff,200,False,False,False,"Fields,Include",,S19,1200,2800,25,16,512,0,"?fields[lead]=id,state,owner_id,updated_at&include=owner",SELECT the authorized lead by public_id with actor scope in the same query; join current owner/state only; prefetch bounded child collections requested by include; return 404 before unrestricted data is materialized.,"UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store",,"{""data"":{""type"":""lead"",""id"":""01K2LEAD000000000000000000"",""version"":8,""attributes"":{""state"":""NEW"",""source_code"":""WEB_INQUIRY"",""priority"":""NORMAL"",""owner_id"":""01K2OWNER000000000000000001"",""first_response_due_at"":""2026-07-14T11:00:00Z"",""next_action_at"":""2026-07-14T10:30:00Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque>,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1200 ms and p99 ≤2800 ms on the representative mixed workload, uses ≤25 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",none,application/json,2500,staff per-session plus global resource guard
PATCH,/leads/{id},Sales,updateLeads,Patch one lead,staff,200,True,False,False,,,S19,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM leads with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store","{""data"":{""type"":""lead"",""attributes"":{""state"":""NEW"",""source_code"":""WEB_INQUIRY"",""priority"":""NORMAL"",""owner_id"":""01K2OWNER000000000000000001"",""first_response_due_at"":""2026-07-14T11:00:00Z"",""next_action_at"":""2026-07-14T10:30:00Z""}}}","{""data"":{""type"":""lead"",""id"":""01K2LEAD000000000000000000"",""version"":8,""attributes"":{""state"":""NEW"",""source_code"":""WEB_INQUIRY"",""priority"":""NORMAL"",""owner_id"":""01K2OWNER000000000000000001"",""first_response_due_at"":""2026-07-14T11:00:00Z"",""next_action_at"":""2026-07-14T10:30:00Z"",""last_action"":""{ID}"",""updated_at"":""2026-07-14T08:00:01Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}","Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7"" | Content-Type: application/json",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",application/json,application/json,5000,staff per-session plus global resource guard
POST,/leads/{id}/assign,Sales,postLeadsIdAssign,Assign or override lead ownership with rule evidence,staff,201,True,True,False,,,S19,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM leads with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store","{""data"":{""type"":""command"",""attributes"":{""reason_code"":""APPROVED_OPERATION"",""comment"":""Evidence reviewed."",""owner_id"":""01K2OWNER000000000000000002"",""assignment_reason"":""CAPACITY_AWARE_OVERRIDE""}}}","{""data"":{""type"":""lead"",""id"":""01K2LEAD000000000000000000"",""version"":8,""attributes"":{""state"":""NEW"",""source_code"":""WEB_INQUIRY"",""priority"":""NORMAL"",""owner_id"":""01K2OWNER000000000000000002"",""first_response_due_at"":""2026-07-14T11:00:00Z"",""next_action_at"":""2026-07-14T10:30:00Z"",""assignment_rule_version"":""sales-round-robin-v4""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}","Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7"" | Idempotency-Key: <UUID> | Content-Type: application/json",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
POST,/leads/{id}/convert,Sales,convertLead,"Atomically link/create canonical contact, organization, and opportunity",staff,201,True,True,False,,,S19,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM leads with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store","{""data"":{""type"":""lead-conversion"",""attributes"":{""organization"":{""mode"":""LINK"",""organization_id"":""01K2ORGANIZA000000000000000""},""contact"":{""mode"":""LINK"",""contact_id"":""01K2CONTACT0000000000000000""},""opportunity"":{""name"":""Managed hosting migration"",""pipeline_version_id"":""01K2PIPELINE000000000000000"",""initial_stage_code"":""DISCOVERY"",""value"":""12500.00"",""currency"":""USD"",""expected_close_date"":""2026-09-30"",""next_action_at"":""2026-07-18T08:00:00Z""}}}}","{""data"":{""type"":""lead-conversion"",""id"":""01K2CONVERT0000000000000000"",""version"":8,""attributes"":{""lead_id"":""01K2LEAD000000000000000000"",""lead_state"":""CONVERTED"",""organization_id"":""01K2ORGANIZA000000000000000"",""contact_id"":""01K2CONTACT0000000000000000"",""opportunity_id"":""01K2OPPORTUN00000000000000"",""converted_at"":""2026-07-14T08:00:00Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}","Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7"" | Idempotency-Key: <UUID> | Content-Type: application/json",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
POST,/leads/{id}/disqualify,Sales,postLeadsIdDisqualify,Disqualify lead with structured reason and optional review date,staff,201,True,True,False,,,S19,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM leads with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store","{""data"":{""type"":""command"",""attributes"":{""reason_code"":""NO_FIT"",""comment"":""Evidence reviewed."",""evidence"":""Required service is outside approved catalogue."",""reconsider_at"":null}}}","{""data"":{""type"":""lead"",""id"":""01K2LEAD000000000000000000"",""version"":8,""attributes"":{""state"":""DISQUALIFIED"",""source_code"":""WEB_INQUIRY"",""priority"":""NORMAL"",""owner_id"":""01K2OWNER000000000000000001"",""first_response_due_at"":""2026-07-14T11:00:00Z"",""next_action_at"":null,""disqualification_reason"":""NO_FIT""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}","Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7"" | Idempotency-Key: <UUID> | Content-Type: application/json",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
POST,/leads/{id}/qualification,Sales,postLeadsIdQualification,Create a structured qualification snapshot,staff,201,True,True,False,,,S19,1800,3500,22,1024,512,0,,"BEGIN; SELECT target rows FROM leads with actor scope and FOR UPDATE when concurrency matters; verify If-Match/idempotency/capability/state/policy; write current state, append-only history, audit and domain event/outbox intent; COMMIT before any external effect.","UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store","{""data"":{""type"":""lead-qualification"",""attributes"":{""need"":""Managed hosting migration"",""fit"":""GOOD"",""authority"":""DECISION_MAKER_IDENTIFIED"",""budget_min"":""10000.00"",""budget_max"":""15000.00"",""currency"":""USD"",""decision_date"":""2026-09-15"",""urgency"":""HIGH"",""constraints"":[""ZERO_DOWNTIME"",""DATA_RESIDENCY_REVIEW""]}}}","{""data"":{""type"":""lead-qualification"",""id"":""01K2LEADQUAL00000000000000"",""version"":8,""attributes"":{""lead_id"":""01K2LEAD000000000000000000"",""state"":""QUALIFIED"",""snapshot_version"":1,""completed_at"":""2026-07-14T08:00:00Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}","Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque> | X-CSRFToken: <token> | If-Match: ""v7"" | Idempotency-Key: <UUID> | Content-Type: application/json",400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 409 state/uniqueness/idempotency conflict; 412 stale If-Match; 413 payload/content too large; 422 validation/policy; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1800 ms and p99 ≤3500 ms on the representative mixed workload, uses ≤22 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect. Reusing the same key and identical request returns the original logical result; key reuse with different content returns 409.",application/json,application/json,5000,staff per-session plus global resource guard
GET,/leads/{id}/source-events,Sales,getLeadsIdSourceEvents,List append-only lead source attribution events,staff,200,False,False,False,,,S19,1200,2800,25,16,512,0,"?fields[lead]=id,state,owner_id,updated_at&include=owner",SELECT the authorized lead by public_id with actor scope in the same query; join current owner/state only; prefetch bounded child collections requested by include; return 404 before unrestricted data is materialized.,"UNIQUE(public_id); INDEX(state, owner_id, next_action_at, public_id); INDEX(first_response_due_at, state, public_id); INDEX(source_code, created_at, public_id)","private, no-store",,"{""data"":{""type"":""lead"",""id"":""01K2LEAD000000000000000000"",""version"":8,""attributes"":{""state"":""NEW"",""source_code"":""WEB_INQUIRY"",""priority"":""NORMAL"",""owner_id"":""01K2OWNER000000000000000001"",""first_response_due_at"":""2026-07-14T11:00:00Z"",""next_action_at"":""2026-07-14T10:30:00Z""}},""meta"":{""request_id"":""01K2REQ0000000000000000001"",""correlation_id"":""01K2CORR00000000000000001"",""domain_event_ids"":[""01K2EVENT00000000000000001""]}}",Accept: application/json | X-Correlation-ID: <ULID> | Cookie: sessionid=<opaque>,400 malformed; 401 unauthenticated; 403 forbidden; 404 not visible/not found; 429 rate limit/resource guard; 503 dependency/resource degraded,"Authorized request meets p95 ≤1200 ms and p99 ≤2800 ms on the representative mixed workload, uses ≤25 SQL statements, respects the request/response/page bounds, and preserves authorization before loading data. The stated domain transition/result is persisted with audit and correlation evidence; negative, stale, duplicate-event and resource-degradation cases fail safely without record/count leakage or uncontrolled customer effect.",none,application/json,2500,staff per-session plus global resource guard
