step_id,phase,title,objective,why_it_exists,prerequisites,frontend_build,backend_build,database_build,ordered_procedure,security_controls,performance_budget,testing_required,success_looks_like,deliverables
S10,Phase 1 — Platform foundation,Build immutable audit and security-event evidence,Make sensitive business and administrative actions reconstructable and tamper-evident.,"A production CRM must explain who changed customer state, permissions, exports, merges, workflows and models.",S03 correlation/logging; S06 database; S09 actor/authorization.,"Build privileged audit search/detail, security event queue and verification-manifest screen. Show diffs/reasons without exposing restricted values.","Implement audit append API used by services, actor types, before/after hashes or field-safe diffs, correlation, original/effective actor, hash chain/periodic manifest and verification command. Separate operational logs from audit.","Create audit_events and audit_manifests with append-only controls, target/time indexes and previous/hash fields. Prevent routine deletion/update.",1) Define audited action catalogue. 2) create safe diff/redaction. 3) append within business transaction. 4) hash chain batches. 5) verify manifests. 6) add access auditing for restricted fields/files. 7) create incident on gap/tamper. 8) test archive retention.,Audit contains no secrets/plain sensitive values; audit viewing itself is permissioned; administrators cannot erase evidence; impersonation records both actors.,"Audit append should add bounded queries (<3 typical) and not materially increase p95; verification runs as bounded job, never HTTP.",Completeness for sensitive commands; rollback creates no false audit; altered row/gap detection; disabled/merged actors; restricted value redaction; authorization.,"For every high-risk action, an auditor can reconstruct actor, authority, reason, target, time, version and outcome. Verification detects simulated alteration within one scheduled run.",Audit service/models/UI; audited-action map; verification command; manifests; security queue; evidence retention policy.
S11,Phase 1 — Platform foundation,Build private file storage and secure upload/download,Store customer files without database BLOB growth or public-path exposure.,"Attachments, quotes, exports and inbound files are a major confidentiality, inode and active-content risk on shared hosting.",S06 file metadata conventions; S09 authorization; actual private path from S01.,"Build reusable upload field, validation progress, classification/visibility labels, private file list, safe download action, rejection reason and no-inline active-content behavior.","Implement custom storage outside public root, randomized two-level paths, streaming upload with byte limit, signature/MIME/extension checks, filename normalization, SHA-256, classification, linkage, safe Content-Disposition/nosniff and download audit.","Create file_assets and file-link associations with checksum, size, type, path, validation, retention, uploader and soft-delete state; index business owner and retention dates.",1) Establish allowlist. 2) create temp quarantine. 3) stream and cap bytes/count. 4) sniff signatures safely. 5) reject scripts/macros/HTML/SVG/nested archives by default. 6) move accepted file atomically. 7) persist metadata. 8) authorize every stream. 9) schedule cleanup/archive.,No public URL; no path from user input; no active inline rendering; strict allowlist because no malware scanner; step-up/access audit for restricted files; traversal and symlink defenses.,"Default upload 5 MB, policy exception 20 MB; upload request p95 depends on transfer but validation CPU bounded; metadata detail ≤15 queries; file stream does not load whole file in memory.","Traversal, double extension, MIME mismatch, oversized/truncated, macro, SVG/HTML, archive bomb, unsafe filename, cross-scope download, deleted/held file, range/stream behavior.","A file cannot be fetched through a guessed path or wrong customer scope, cannot execute active content through the app, and storage/inode use remains measurable and recoverable.",Private storage backend; upload/download endpoints/components; allowlist policy; malicious corpus tests; cleanup and capacity metrics.
S12,Phase 1 — Platform foundation,"Build governed configuration, reference data, custom fields and policies","Turn business behavior into versioned, validated, reviewable configuration rather than scattered constants.","Pipelines, SLA, forms, templates, caps and reason dictionaries will change; unsafe runtime configuration can become code execution or retroactive history corruption.",S00 approved defaults; S09 admin authorization; S10 audit.,"Build administration screens for company settings, dictionaries, calendars, teams/queues preview, custom fields, tags, feature flags and configuration version diff/activation/rollback.","Implement schema-validated configuration bundles, effective dating, dependency analysis, checksums, staged activation, rollback for new behavior, typed custom fields, governed tags, business calendars, SLA/assignment policy versions and feature flags.","Create configuration_versions, feature_flags, business_calendars, sla_policies, assignment_rule_versions, custom_field_definitions/values and tags/entity_tags.",1) Seed opinionated default codes. 2) define JSON schemas and stable codes. 3) create draft/review/active/retired lifecycle. 4) calculate dependency impact. 5) simulate routing/policy. 6) require reviewer for high impact. 7) schedule activation. 8) retain historical version references. 9) support safe rollback.,No Python/SQL/template expression in configuration; secrets excluded; actor cannot activate beyond capability; label edit cannot trigger mass customer effects; feature flags cannot bypass security/consent.,Admin lists/details p95 ≤1.5s; activation request only writes configuration/events and never performs mass backfill inline; dependency analysis bounded/indexed.,"Schema tamper, unknown field/operator, dependency retirement, activation conflict, historical effective date, rollback, unsafe feature flag, localization extraction, permission/four-eyes.","Every effective business rule shows version, author, reviewer, time, dependency impact and rollback. Historical calculations remain tied to the version valid when facts occurred.",Configuration engine/UI; default bundle; policy services; custom fields/tags; dependency reports; activation tests.
S13,Phase 2 — Core domain,Build reusable state-machine and invariant engine,"Create one explicit transition pattern for lead, opportunity, onboarding, support, recovery, success and operational states.","Directly editing status fields leads to missing evidence, broken SLA, unowned work and automation on uncommitted data.",S06 transactions/history; S09 policy; S10 audit; S12 state definitions.,"Build reusable stage/status stepper, allowed-action menu, evidence form, transition preview, rejection explanation and historical interval view. Never expose arbitrary status dropdown for governed states.","Implement typed transition definitions with allowed edges, permission, required fields/evidence, entry/exit actions, owner/action invariant, terminal outcomes, corrective/reopen events and committed domain-event creation.",Create append-only stage/event table patterns and current-state projections. Add constraints for owner/next action/wake-up where representable and nightly invariant checks otherwise.,1) Define transition contract. 2) implement validator. 3) lock target row/version. 4) validate edge/authority/evidence. 5) append event and update current state. 6) write audit/domain event atomically. 7) schedule effects later. 8) implement correction/reopen. 9) add reconstruction tests.,No transition from client-supplied state alone; object/field policy; terminal and destructive transitions require reason/step-up where configured; automation sees committed event only.,Typical transition p95 ≤1.8s and ≤22 queries; lock only target/current dependencies; no table scans; events indexed by entity/effective time.,Every valid/invalid edge; missing evidence; stale If-Match; concurrent transitions; rollback; historical reconstruction; reopen/correction; owner/action invariant; permission matrix.,"No governed state can be bypassed through HTML, API, import or job. Reports reconstruct historical state and elapsed intervals exactly from append-only events.",State-machine library; transition UI; history models; invariant checker; test fixture DSL; transition documentation.
S14,Phase 2 — Core domain,"Build canonical organizations, contacts and relationships","Create one trustworthy customer identity model before leads, tickets and automation depend on it.",Embedding contacts inside companies or allowing duplicates destroys customer history and authorization correctness.,S06 schema; S09 policy; S11 files; S12 custom fields; normalization rules.,"Build organization/contact lists, create/edit forms, contact-point editor, relationship history, address forms, account-owner/team controls and duplicate candidate preview during creation.","Implement normalization, canonical services, relationship effective dates, contact-point primary/verification, address minimization, ownership/account team and lifecycle derivation/controlled override.","Create organizations, contacts, contact_organizations, contact_points, addresses and account-team relations with normalized indexes and opaque public IDs.",1) Implement deterministic normalizers with fixtures. 2) create canonical models. 3) add forms/selectors. 4) create identity match checks before commit. 5) implement relationship moves without history loss. 6) add owner/team. 7) emit timeline/events. 8) add import-safe service path.,Field-level policy for private/restricted data; enumeration-safe IDs; collect only configured address fields; original/display values retained; changes audited.,"List p95 ≤1.4s, detail ≤1.5s; standard detail ≤25 queries; indexes on public ID, normalized name/email/phone/domain, owner/state/updated.","Normalization locales, duplicate exact cases, primary uniqueness, relationship end/new employer, concurrent edit, unauthorized field POST, soft delete/restore, search performance.","Staff can find one canonical customer/person, see current and historical relationships, and no creation path silently starts a second active identity when a strong match exists.",Customer models/services/selectors; organization/contact UI/API; normalization library; relationship/contact-point tests; seed data/import mappings.
S15,Phase 2 — Core domain,"Build consent, preferences, suppression and communication policy precedence",Ensure no manual or automated customer message bypasses purpose/channel choice or higher-priority holds.,"Communication automation is dangerous unless eligibility changes immediately after reply, opt-out, bounce, complaint or security/legal restriction.",S12 policy configuration; S14 customer/contact points; S10 audit.,"Build consent history/effective preference UI, global/purpose/channel hold display, signed preference center, suppression administration and a clear policy-explanation component on every draft/outbox item.","Implement append-only consent evidence/current projection, signed preference link, global DNC, address/channel/purpose suppression and a single communication-policy engine with fixed precedence and reason codes.","Create consent_preferences, suppression_entries and communication_policy_versions; index contact/address/purpose/channel/effective dates.",1) Classify every communication purpose. 2) define precedence. 3) implement evidence append/projection. 4) implement signed tokens. 5) implement guard API shared by manual/automation. 6) persist guard decision/reasons. 7) re-evaluate at outbox claim. 8) add immediate cancellation hooks. 9) test conflicting policies.,Token purpose/object/action binding; no consent inference from opens; service/legal classification separate; changes audited and effective before next claim; only authorized override with expiry.,Guard evaluation target <100ms p95 and ≤10 indexed queries; no full contact history scans; signed pages p95 ≤1.4s.,DNC vs service notice; unsubscribe vs quiet hours; hard bounce; reply after scheduling; low feedback; complaint; legal hold; expired/tampered token; manual-send bypass attempts.,Every send intent displays a deterministic allow/hold/cancel result and reasons. Changing a preference or receiving a reply prevents an otherwise due message before transmission.,Consent/suppression models/services/UI; preference center; guard contract; purpose dictionary; precedence test matrix.
S16,Phase 2 — Core domain,"Build Customer 360, normalized timeline and universal search","Give authorized staff a complete, fast, source-linked view of every customer situation.",The product promise depends on eliminating fragmented context without creating a second copy of source data.,S14 identity; S15 consent; source modules may initially contribute placeholders.,"Build Customer 360 header and tabs, normalized timeline filters, source deep links, visibility labels, universal search with keyboard navigation, safe empty states and mobile priority layout.","Implement permission-aware overview selector, timeline projector/registry, incremental source event projection, bounded search across normalized fields and read models for active obligations/alerts.",Create timeline_events and optional small projection tables; indexes on organization/contact/event time/type/visibility/source. Search uses existing normalized columns.,1) Define timeline event schema. 2) register source event renderers. 3) project from committed events idempotently. 4) build overview selector. 5) build search union/query services. 6) apply actor scope before counts. 7) paginate by time/public ID. 8) add reconciliation command. 9) profile representative data.,No restricted summaries in search/timeline; visibility change audited; count leakage prevented; file and source links reauthorize at destination.,"Customer overview p95 ≤1.6s, ≤35 queries; timeline/search first page p95 ≤2.0s; page size 25–50; no leading wildcard on large text.","Cross-role results/counts, deep links, correction events, source deletion/soft delete, pagination stability, N+1, 20k contacts/300k events, mobile/keyboard.","An authorized user identifies status, owner, next action, risk and recent history above the fold; search returns only permitted records within target and every timeline item links to authoritative evidence.",Customer 360 pages; timeline/search services/endpoints; projections; renderer registry; query-budget and reconciliation tests.
S17,Phase 2 — Core domain,"Build duplicate review, atomic merge, data quality and customer governance",Protect canonical identity and surface incomplete/stale records as owned work.,"Uncontrolled merges are irreversible business harm; poor data silently breaks assignment, automation, scoring and reporting.",S14 identity; S16 timeline/search; S10 audit; S34 governance may be partially scaffolded.,"Build duplicate candidate queue, evidence comparison, field-level merge preview, dependency impact, step-up/approval, reversible map, data-quality dashboard and privacy/legal-hold customer tab.","Implement exact/fuzzy candidate generation, human decisions, atomic merge re-parenting and alias map, integrity checks, completeness rules, soft-delete/restore/purge hooks, restricted-field access audit and governance case links.","Create duplicate_candidates, merge_records/maps/field decisions, data-quality issue projection, privacy_cases and legal_holds foundations.",1) Define match signals/thresholds. 2) generate candidates asynchronously/bounded. 3) build preview. 4) lock both records and dependencies. 5) apply chosen field/relationship mappings atomically. 6) preserve source IDs/history. 7) create reversible period. 8) run post-merge reconciliation. 9) implement quality rules/ownership.,Never auto-merge; step-up/four-eyes for destructive merge; portal grants/consent/files checked; legal hold blocks purge; restricted access audited.,"Candidate list p95 ≤1.5s; preview p95 ≤1.7s; merge duration bounded and measured, with maintenance/queued path if unusually large; indexed normalized signals.","Race with concurrent edit, failed child re-parent rollback, conflicting consent/contact points, portal isolation after merge, undo before compaction, quality rule reconciliation, held records.","No merge loses history, consent, files or authorship; a failed merge leaves no partial state; every quality exception has exact record/field, severity, owner and resolution evidence.",Duplicate/merge engine and UI; data-quality rules/dashboard; privacy/legal-hold scaffolding; merge and rollback tests.
S18,Phase 2 — Core domain,"Build tasks, activities, approvals and unified work queue","Convert every lifecycle obligation and customer signal into owned, due, traceable human work.",Zero-drop operation is impossible without one cross-module queue and durable reminders.,S09 users/queues/delegation; S13 state patterns; S16 customer context.,"Build operational home queue, task list/detail, activity composer, approval queue/detail, calendar, notifications, transparent rank reasons and bounded bulk actions.","Implement task lifecycle/recurrence, durable reminder jobs, activity logging/meaningful interaction, derived work queue projection, atomic claim/release, approvals/snapshot invalidation, escalation and digest preparation.","Create tasks, task_events, activities, work_queue_items, approval_requests/decisions and notifications with state/owner/queue/due indexes.",1) Define source-to-work projection contract. 2) implement task service. 3) implement recurrence. 4) implement claim atomicity. 5) implement approvals. 6) project replies/SLA/recovery/failures. 7) implement ranking. 8) add calendar/timezone. 9) add integrity checks and dashboards.,Queue and source object both authorize access; private activity summaries omitted; snooze cannot hide hard SLA; approval actor separation; bulk actions capped/previewed.,Queue first page p95 ≤1.5s and ≤22 queries; task mutation ≤1.8s; rank computed from indexed projection rather than large runtime union.,"Two-user claim race, reminder restart, recurrence DST/month-end, stale approval, delegation expiry, private activity leakage, queue reconciliation and bulk mixed failures.",Every active object can create one visible work item; queue counts reconcile to source records; two users cannot claim the same work; browser closure/restart never loses reminders.,Work models/services/UI; recurrence/reminder jobs; approval framework; queue projector; ranking policy; notification and calendar tests.
S19,Phase 3 — Commercial lifecycle,"Build lead intake, assignment, SLA, qualification and conversion","Turn every accepted enquiry into one accountable, deduplicated, policy-compliant sales process.",The earliest customer experience and revenue protection depend on fast response and immediate stop when the prospect replies or opts out.,S14 customer identity; S15 communication guard; S18 work queue; S13 state machine.,"Build public/internal lead forms, lead queue, lead workspace, source/assignment evidence, SLA timer, qualification panel, score explanation, sequence status and conversion preview.","Implement shared intake adapters, abuse/quarantine, duplicate/existing-customer check, assignment engine, first-response SLA, acknowledgement intent, qualification snapshots, transition/invariant, source attribution, stale escalation, rules score and atomic conversion.","Create leads, lead_source_events, qualification_snapshots and assignment rule references; indexes on state/owner/SLA/due/source/normalized contact.",1) Define intake DTO. 2) implement manual/public/email/import adapters. 3) dedupe before assignment. 4) assign deterministically. 5) start SLA and task. 6) queue permitted acknowledgement. 7) qualify/transition. 8) stop on meaningful reply. 9) convert atomically. 10) aggregate outcomes.,Public rate limits/honeypot/timing; no automation from quarantined import/form; consent guard; owner/action invariant; low score never blocks review; no arbitrary bulk recipients.,Public form p95 ≤1.8s; staff list/detail ≤1.5s; create/transition ≤1.8s; response warning jobs within one Cron interval; indexed list ≤22 queries.,"Equivalent source payloads, duplicate event/replay, assignment absence/capacity, business calendar, auto-ack not human response, reply race, disqualify/nurture/convert rollback, score abstention.","Each accepted lead has one owner, SLA, future action and source evidence within the request/first Cron interval; duplicate intake never starts a second sequence; conversion creates one linked opportunity.",Lead frontend/backend/API; public form; assignment/SLA/qualification/conversion; rules score; reports and UAT-02/03/04 evidence.
S20,Phase 3 — Commercial lifecycle,"Build opportunities, pipelines, catalogue, stakeholders and risk","Manage evidence-based commercial progression with accurate values, forecast source and next actions.",Generic stage boards without enforced evidence create misleading forecasts and stalled deals.,S19 leads; S12 configuration; S13 transitions; S18 tasks.,"Build opportunity list/board/detail, keyboard stage movement dialog, pipeline/catalgoue administration, stakeholder and product-line editors, risk reasons and forecast categories.","Implement pipeline versions/stages, opportunity creation/update, stage transition/history, stakeholders, product catalogue/effective version, line items, stored exchange rates, forecast category, probability source, stall/risk calculation and pause/wake-up.","Create pipelines/versions/stages, product_services, exchange_rates, opportunities, opportunity_contacts/lines and stage events with stage/owner/close-date/action indexes.",1) Approve pipelines. 2) implement versioned configuration. 3) create opportunity service. 4) add stakeholders/lines. 5) implement stage evidence. 6) append timing history. 7) implement risk reasons. 8) handle close-date slips and pause. 9) build board/list/detail. 10) profile forecast queries.,Financial field restrictions; no stage drag bypass; override probability/forecast reason; retired catalogue cannot be newly selected; direct API cannot alter stage without command.,List/board/detail p95 ≤1.7s; detail ≤32 queries; stage transition ≤1.8s; forecast/drilldown ≤2.0s; indexes avoid stage-column N+1.,Every edge/evidence; concurrent transition; missing stakeholder risk; currency/rounding; retired product; close-date slip; pause expiry; board keyboard/accessibility; report reconciliation.,"Every active opportunity has owner, value/currency, stage, close date and next action; stage history reconstructs velocity; risk reasons are visible and deterministic; board totals reconcile.",Opportunity/pipeline/catalogue frontend/backend/API; risk service; forecast projections; stage and financial tests.
S21,Phase 3 — Commercial lifecycle,"Build quotes, approvals, issue/delivery and atomic won/lost handoff",Produce reproducible commercial documents and convert outcomes into the downstream customer lifecycle exactly once.,A quote is commercial evidence; mutable issued documents or partial won handoffs create financial and delivery disputes.,S20 opportunities/catalogue; S18 approval; S11 files; S15 policy.,"Build quote list/editor/version switcher, line totals, approval snapshot/diff, signed delivery evidence, expiry warnings, won/lost dialogs and handoff completeness review.","Implement quote family/version/line services, decimal rounding, approval thresholds/four-eyes, issue freeze/checksum/document generation, signed link/delivery intent, expiry actions, idempotent won handoff and structured lost/no-decision outcome.","Create quotes, quote_versions, quote_lines, approval links and won-handoff uniqueness; index opportunity/state/expiry/version.",1) Define commercial calculation rules. 2) create drafts/versions. 3) validate totals/terms. 4) request approval on immutable snapshot hash. 5) freeze issue. 6) generate private document. 7) deliver via guarded outbox. 8) handle expiry/replacement. 9) validate handoff. 10) mark won atomically or record lost evidence.,Financial/discount permissions; approver separation; signed links scoped/expiring; issued version immutable; file revalidation at send; lost/won require evidence and step-up if configured.,Quote editor/detail p95 ≤1.7s; issue command ≤1.8s excluding queued document/mail; won transaction ≤2.5s and short locks; document generation queued if expensive.,"Rounding/tax/discount boundaries, stale approval after edit, self-approval, issue replay, signed token tamper/expiry, delivery failure, won duplicate event/crash, incomplete handoff, lost reasons.",An issued quote can be reproduced byte-for-byte from version/checksum; repeated won calls create one onboarding/success/renewal chain and one event; no outcome closes without required evidence.,Quote frontend/backend/API; calculation and document generation; approvals; signed delivery; won/lost handoff; UAT-04/05 evidence.
S22,Phase 3 — Communications,"Build mailboxes, templates, blocks and controlled drafts","Create safe, reviewed customer communication content and mailbox configuration before sending automation.",Free-form generative text and arbitrary senders are outside scope; reproducibility requires exact template/version/block evidence.,S11 files; S12 configuration; S15 purposes; S18 approvals.,"Build mailbox administration/test, template and block library, versioned editor, allowlisted variable dictionary, plain-text/HTML preview, draft queue and controlled composer.","Implement email account metadata/secret references, template/version lifecycle, safe variable resolver, HTML sanitation, plain-text alternative, approved block assembly, draft rendering hash and material-edit approval invalidation.","Create email_accounts, templates, template_versions, message_blocks and draft/message metadata structures; index code/purpose/state/effective dates.",1) Create dedicated mailboxes. 2) define sender/purpose mappings. 3) implement template schema. 4) implement allowlisted variables/fallback. 5) implement sanitizer/plain text. 6) create block assembly. 7) persist draft/render hash. 8) add previews/test contexts. 9) add review/activation. 10) test mail clients.,Credentials only environment/secret reference; no arbitrary From/Reply-To; no template code/expression; CR/LF rejection; no external fonts/scripts/tracking; attachments only authorized files.,Template/draft screens p95 ≤1.6s; rendering <150ms typical; request ≤1MB; preview bounded; static assets local.,"Missing variable, unauthorized attribute, injection, unsafe HTML, CR/LF, sender override, attachment scope, material edit invalidation, plain-text parity, staging interception.","Every customer message can identify exact sender, purpose, template version, source blocks, rendered hash and approval state; no configuration can execute code or choose arbitrary sender.",Mailbox/template/block/draft frontend/backend/API; content standards; approved baseline templates; sanitizer and rendering tests.
S23,Phase 3 — Communications,"Build transactional outbox, final policy guard and SMTP delivery state","Ensure customer messages are low-volume, policy-compliant, auditable and recoverable across retries and ambiguous SMTP outcomes.",Sending inline or blindly retrying after network failure creates duplicates and violates consent/hosting limits.,S15 policy engine; S22 drafts/templates/mailboxes; S10 audit.,"Build outbox list/detail, priority/state filters, policy evidence, attempt timeline, cancellation/retry controls and explicit delivery-unknown reconciliation UI.","Implement send-intent creation in business transaction, deterministic Message-ID/idempotency key, priority lanes, global/mailbox/contact caps, claim/final guard, SMTP MIME handoff, delivery events, transient/permanent/ambiguous classification and Sent/archive reconciliation.","Create outbox_messages, delivery_events and communication_ledger with unique idempotency/message identity and state/priority/scheduled indexes.",1) Define state machine READY/CLAIMED/SENDING/SENT/FAILED/DELIVERY_UNKNOWN. 2) create intent transactionally. 3) claim bounded batch. 4) re-check policy. 5) write attempt before handoff. 6) send. 7) classify response. 8) never blind-retry unknown. 9) reconcile evidence. 10) enforce 60/hour and 10/5 minutes.,Same guard for manual/automation; no mass recipient upload; sender allowlist; header injection prevention; BCC/archive privacy; secrets redacted; step-up for ambiguity resolution if needed.,"Send command ≤10 messages/35s, internal cap 60/hour; web send intent p95 ≤1.8s; outbox list ≤20 queries; no request performs SMTP.","Crash before/after attempt/handoff, duplicate Cron, policy change after schedule, rate cap, hard/soft failure, connection timeout ambiguity, Sent reconciliation, attachment deleted, emergency stop.",No confirmed duplicate customer message occurs in forced-failure tests; every ambiguous handoff becomes visible and is not retried automatically; service mail outranks relationship mail without exceeding caps.,Outbox/SMTP services; state machine; Cron command; operations UI; failure-injection suite; delivery runbook.
S24,Phase 3 — Communications,"Build IMAP ingestion, threading, inbound safety and reply-aware stopping",Bring customer replies into the canonical timeline and immediately adapt automation.,"Closed-loop follow-up fails if replies are duplicated, misthreaded, unsafe or processed too late.",S22 mailboxes; S23 messaging records; S16 timeline; S26 runtime may be scaffolded.,"Build CRM inbox, thread detail, sanitized message viewer, attachment validation state, customer context, ambiguous match review, classify/rethread controls and reply work item.","Implement bounded UID polling, mailbox cursor, MIME parser, UID/Message-ID dedupe, safe body storage/preview, threading hierarchy, reply-token/fallback confidence, intent classification hook, customer/ticket/lead matching, domain events and future-job/outbox cancellation.","Create email_threads, email_messages, message_recipients, message_attachments and mailbox cursor/health fields; unique mailbox+UID and Message-ID indexes.",1) Poll unseen UID batch. 2) persist raw evidence safely. 3) parse headers/body/attachments defensively. 4) dedupe. 5) thread by standards. 6) match customer/context. 7) flag ambiguity. 8) commit inbound message+event. 9) create/refresh work item. 10) cancel generic future actions idempotently.,Inbound HTML untrusted; remote content disabled; spoofing indicators; attachment allowlist; no sender identity trust solely from From header; internal/portal visibility explicit.,≤25 messages/35s per poll; urgent reply visible within one five-minute interval; thread page p95 ≤1.5s; indexes prevent mailbox rescans.,"Re-poll same UID, missing/duplicate Message-ID, References chain, fallback ambiguity, crafted MIME, oversized attachment, reply between schedule/claim, closed ticket reopen, misattributed sender.","Each inbound message exists once, threads correctly or enters review, creates one actionable reply item and stops incompatible future messages within one polling/Cron interval.",IMAP/threading/inbox frontend/backend/API; safe MIME fixtures; reply-stop integration; mailbox health and recovery runbook.
S25,Phase 4 — Automation,"Build domain events, workflow definition/compiler and simulation","Create a safe declarative automation language whose behavior is versioned, inspectable and side-effect free until activated.","Hard-coded timers cannot support reliable exits, policy precedence, audit or company-managed evolution.",S10 audit; S12 configuration; S13 states; domain services emitting committed events.,"Build automation list/overview/builder/simulation screens with allowlisted trigger, typed condition tree, ordered steps/delays, exits, caps, approvals, conflict policy, dependencies and exact trace.","Implement domain event schemas/registry, consumption ledger, workflow families/versions, compiler validation, typed field dictionary/operators, action registry, graph cycle/depth/step checks, dependency analysis and side-effect-free simulation against records/snapshots.","Create domain_events, event_consumptions, automation_definitions/versions and normalized/JSON validated step plan; index type/time/correlation and code/version/state.",1) Register committed event contracts. 2) implement versioned definitions. 3) define trigger/condition/action schemas. 4) implement compiler. 5) reject arbitrary code/URLs. 6) compute dependencies/cycles. 7) implement simulation clock/guards/conflicts. 8) add reviewer/activation checks. 9) create contract fixtures.,No Python/shell/SQL/eval/templates/HTTP callback; actor cannot configure action beyond approved scope; record samples permissioned; simulation never writes business/customer events.,"Definition pages ≤1.6s; simulation request ≤1.9s for bounded sample and ≤24 queries; max 30 steps, boolean depth/size bound, max five nested enrolments.",Every trigger/operator/action; invalid field/type; direct/indirect cycle; excessive graph/depth; unauthorized action; rollback event absence; duplicate event; simulation zero side effect.,"A process owner can see exactly why a record would enroll, dates/actions/guards/exits/conflicts, and unsafe definitions cannot activate or execute arbitrary code.",Event registry/ledger; workflow compiler/simulator; builder UI/API; dependency report; contract/security tests.
S26,Phase 4 — Automation,"Build durable workflow runtime, jobs, retries, dead letters and emergency stop",Execute delayed automation safely through bounded cPanel Cron without daemons.,"Server restarts, overlapping Cron and transient failures must not lose, duplicate or hide work.",S25 compiled plans/events; S18 work queue; S23 outbox.,"Build run/job/dead-letter trace screens, pause/resume/cancel, replay preview, command heartbeat, queue age and emergency-stop banner/control.","Implement enrollment uniqueness/re-entry policy, workflow run state, durable scheduled jobs, one-command DB lease, atomic job claim, attempt records, idempotent actions, retries/backoff/jitter, dead letters, nested depth/correlation, conflict resolver, global frequency ledger and kill switch.","Create workflow_runs/events, scheduled_jobs, job_attempts, dead_letters, command_leases/runs; indexes on state/due/retry/lease/idempotency/correlation.",1) Enroll from event idempotently. 2) create first job. 3) acquire command lease. 4) claim short batch. 5) re-evaluate exits/policy. 6) execute action. 7) append result/next job. 8) classify/retry/dead-letter. 9) checkpoint/time out. 10) implement pause/cancel/emergency/replay.,Runtime uses system policy but cannot exceed action allowlist/record scope; replay requires current authorization/policy and reason; emergency stop privileged/audited; errors redact customer/secrets.,≤50 jobs or 40s per command; due-job p95 begins within one Cron interval +2 min; locks short; process memory ≤512MB; command overlaps produce one executor.,"Concurrent runners, stale lease, crash after claim/action/commit, event redelivery, retry schedule, permanent/policy error, nested loop guard, reply/opt-out final exit, kill switch latency.",Restart/duplicate Cron cannot lose or logically duplicate actions; every failure has owner/severity/replay path; emergency stop blocks new external effects within one interval while state remains recoverable.,Runtime/job/lease/retry/dead-letter services; Cron commands; operations screens; failure-injection/soak tests; runbooks.
S27,Phase 4 — Automation,Configure and verify all 28 production workflows,Translate the approved operating model into reviewed draft workflows and activate only after complete evidence.,"The engine alone provides no customer outcome; every production workflow needs company policy, templates, stops, ownership and tests.",S19-S26 modules; approved workflow owners/templates/SLAs.,Build workflow-specific overview/help text and simulation fixtures. No new framework component unless a workflow exposes a missing generic need.,"Install WF-01 through WF-28 as versioned drafts; bind triggers, conditions, tasks/messages, owners, delays, exits, caps, conflicts, metrics and rollback/in-flight policy. Implement any missing typed action through the registry, never one-off code inside a workflow.",Persist 28 definition/version records and test fixtures; no customer run is created merely by deployment.,For each workflow: 1) name owner/escalation. 2) bind trigger schema. 3) define eligibility. 4) bind templates/purpose. 5) define actions/delays. 6) define reply/opt-out/complaint/completion/stage/manual exits. 7) simulate positive/negative/duplicate/conflict cases. 8) test retry/dead-letter/auth. 9) approve. 10) activate progressively.,High-impact workflows require four-eyes; imported/quarantined/test records excluded; no mass mail; security/recovery/service precedence; no auto-merge/churn/high-impact AI action.,Each workflow respects engine batch/mail caps; simulation stays bounded; metrics aggregate incrementally. Activation volume is staged.,"Five mandatory categories per workflow: positive, stop/exit, duplicate event, retry/dead letter, permission. Add race tests for message/reply and one-time handoffs.","All 28 workflow packs have named owner, exact simulation output, approved templates/policy, rollback and test evidence. Activation is controlled and no workflow can contact an ineligible customer.",Workflow configuration bundle; simulation snapshots; test pack; approval register; activation/rollback plan; staff guidance.
S28,Phase 5 — Full lifecycle,"Build onboarding templates, cases, milestones, requests and blockers",Turn each won promise into an accountable delivery plan and measurable time-to-value.,"A won deal is not value until handoff, customer inputs, milestones and blockers are managed and closed.",S21 won handoff; S18 tasks; S23 messaging; S26 automation; S32 portal scaffold as needed.,"Build onboarding queue/detail/template editor, dependency-aware checklist, weighted progress, customer request cards, secure uploads, blocker panel, completion/cancel dialogs and customer-visible wording preview.","Implement template/version snapshot, one-case-per-handoff, role-based assignment, handoff completeness, milestone/dependency/waiver, customer request tokens/portal, reminders/exits, blocker escalation/health effect, progress calculation and completion feedback/success handoff.","Create onboarding_templates/versions, cases, milestones, dependencies, customer_requests and blockers with case/state/owner/due indexes and handoff uniqueness.",1) Map products to templates. 2) instantiate snapshot at won. 3) validate handoff. 4) assign owner/tasks. 5) start approved welcome. 6) request inputs. 7) manage dependencies/blockers. 8) compute progress. 9) complete mandatory outcomes. 10) schedule one feedback/success review.,Portal/signed request scope; file controls; customer-visible vs internal separation; waiver approval; reminders stop on reply/submission/hold/completion; incomplete handoff can return to sales.,Queue/detail ≤1.6s; progress deterministic; reminders within one interval; one case per handoff enforced; milestone updates ≤1.8s.,"Template edit does not alter active case, dependency cycle, duplicate won event, token tamper, upload scope, reminder race, blocker escalation, waiver permission, completion missing item/cancel outcome.",Every won opportunity produces exactly one complete owned case; the customer knows what is needed; progress reconciles to milestones; blockers age visibly; completion establishes success baseline and feedback.,Onboarding frontend/backend/API/templates; portal request integration; workflows WF-12–15; reports and UAT-05/06 evidence.
