build_step,requirement_id,group,owner,module,acceptance_method,requirement,acceptance_evidence_required,s00_evidence_target,implementation_gate,source_register_status,s00_status
S00,STM-06,STM,Oghenemaro,state_machine_governance,State-transition walkthrough and invariant review,Terminal states shall require an outcome reason and may trigger retention/feedback/hand-off workflows.,A record cannot close without configured outcome data.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,STM-07,STM,Oghenemaro,state_machine_governance,State-transition walkthrough and invariant review,Reopening shall retain the prior terminal event and create a new active interval.,Reopened support and commercial records remain analytically distinct.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,STM-08,STM,Oghenemaro,state_machine_governance,State-transition walkthrough and invariant review,"Automations shall evaluate the committed transition event, not uncommitted form input.",No workflow is triggered when the database transaction rolls back.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-001,CFG,Oghenemaro,configuration_governance,Configuration decision register review,"Company configuration shall include legal/display name, timezone, locale, currencies, business hours, holidays and contact details.",Historical SLA/financial reports retain original basis.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-002,CFG,Oghenemaro,configuration_governance,Configuration decision register review,"Administrators shall configure teams, queues, roles and assignment rules with preview.",Simulation fixtures match active routing.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-003,CFG,Oghenemaro,configuration_governance,Configuration decision register review,"Pipelines, stages, ticket categories, priorities, outcomes and reason dictionaries shall be governed reference data.",Used values retire rather than delete.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-004,CFG,Oghenemaro,configuration_governance,Configuration decision register review,Communication templates and block libraries shall have draft/review/active/retired lifecycle.,No unapproved template is available to production automation.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-005,CFG,Oghenemaro,configuration_governance,Configuration decision register review,Custom fields and forms shall be schema-validated and dependency-aware.,Unsafe retirement is blocked.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-006,CFG,Oghenemaro,configuration_governance,Configuration decision register review,"SLA, frequency cap, quiet hour and escalation policies shall be centrally configured.",Automated tests use exported policy fixture.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-007,CFG,Oghenemaro,configuration_governance,Configuration decision register review,"Feature flags shall be server-side, scoped and auditable.",Flag state is included in release/incident evidence.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-008,CFG,Oghenemaro,configuration_governance,Configuration decision register review,Configuration import/export shall use signed/checksummed versioned bundles.,Tampered or incompatible bundle is rejected.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-009,CFG,Oghenemaro,configuration_governance,Configuration decision register review,Production configuration changes shall support scheduled activation and rollback.,Rollback restores prior version for new behavior without erasing history.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-010,CFG,Oghenemaro,configuration_governance,Configuration decision register review,Reference/configuration changes shall generate domain events only where explicitly safe.,Editing a label does not unexpectedly contact customers.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-011,CFG,Oghenemaro,configuration_governance,Configuration decision register review,Administrative diagnostics shall expose dependency/runtime versions and sanitized environment checks.,Support bundle is safe to share internally.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,CFG-012,CFG,Oghenemaro,configuration_governance,Configuration decision register review,"Default configuration shall be delivered as an opinionated company-ready baseline, not empty generic screens.",Configuration acceptance checklist records each approved/changed default.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-001,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,A versioned threat model shall be completed before implementation freeze and updated for material changes.,Sponsor/technical owner sign-off and test mapping exist.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-002,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Production shall run only over valid HTTPS with canonical host enforcement.,TLS/redirect/host-header tests pass.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-003,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Security headers shall include CSP, HSTS after validation, frame protection, nosniff, referrer policy and permissions policy.",Automated header scan passes approved profile.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-004,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Session and authentication cookies shall be Secure, HttpOnly and appropriate SameSite.",Browser and automated tests verify attributes.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-005,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,All state-changing browser requests shall use CSRF protection and safe HTTP methods.,"CSRF test suite covers staff, portal and public token flows.",docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-006,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Output encoding and HTML sanitization shall prevent stored/reflected XSS.,XSS corpus fails to execute in staff/portal views.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-007,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,A Content Security Policy shall prevent unapproved script/style/frame sources.,No third-party runtime script is needed for core operation.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-008,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Database access shall use parameterized ORM/query APIs.,SAST/manual review and injection tests pass.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-009,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Object-level authorization shall be enforced server-side on every read, mutation, search, count, file and export.",IDOR matrix tests cover each portal/staff object type.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-010,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Mass-assignment shall be prevented by explicit forms/field allowlists.,Tampered POST fixtures cannot elevate scope.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-011,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Public and authentication endpoints shall have database-backed rate limits and payload caps.,Abuse/load tests preserve availability and produce security events.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-012,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Public forms shall use honeypot, timing, duplicate and behavioral controls without relying on an external CAPTCHA.",Bot fixtures are blocked/limited; legitimate accessibility flow remains.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-013,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Signed links shall be purpose-bound, expiring, unguessable and revocable.","Tamper, replay, cross-purpose and expiry tests pass.",docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-014,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Redirect targets shall be allowlisted/local to prevent open redirect.,External scheme/host fixtures are rejected.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-015,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,The application shall not perform arbitrary server-side URL fetching.,SSRF test surface is absent or allowlisted.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-016,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"No user/configuration input shall be executed by shell, Python eval, SQL engine or template expression engine.",Injection payloads cannot execute.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-017,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Serialization and uploaded configuration shall use safe formats and schemas.,Malformed/tampered bundle is rejected.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-018,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Secrets shall be stored in cPanel environment variables or protected configuration outside source control/public root.,Repository and support-bundle scans find no secret.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-019,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Database credentials shall use the least-privileged application user available.,Connection test confirms only required schema rights.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-020,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Selected restricted fields and exported backup artifacts shall support application-level authenticated encryption where runtime dependency passes preflight.,Decrypt/rotation/failure tests pass; missing key fails closed.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-021,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,File storage shall be outside the public web root and served through authorized application views.,Direct path and traversal tests fail.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-022,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"File upload shall enforce allowlisted extensions/MIME signatures, size/count, decompression and filename safety.",Malicious/ambiguous corpus is withheld.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-023,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Because no external malware scanner is permitted, the product shall communicate and enforce the residual file-risk policy.",Risk acceptance and user guidance are present.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-024,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Inbound email content shall be treated as untrusted.,Crafted MIME fixtures do not execute or break parser.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-025,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Outbound email shall prevent header injection and unauthorized From/Reply-To use.,Injection fixtures fail.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-026,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"The company domain shall configure and monitor SPF, DKIM and DMARC to the extent supported by its Truehost mail/DNS setup.",Pre-go-live DNS/mail checks are recorded.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-027,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Error handling shall never expose debug pages, secrets, SQL, filesystem paths or stack traces to users.",Production error-page tests pass.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-028,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Logs shall be structured, rotated and data-minimized.",Log sampling/security tests verify redaction.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-029,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Sensitive business/admin events shall have tamper-evident audit chaining.,"Verification command detects alteration/gap, acknowledging same-host limits.",docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-030,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Exports, merges, privacy operations, model promotion, role elevation and retention override shall require reason and enhanced audit.","Audit evidence identifies requester, approver, scope and result.",docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-031,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Dependencies shall be pinned, inventoried and scanned before release.",Release bundle contains SBOM/dependency list and review record.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-032,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Security patches shall follow severity-based remediation timelines.,Incident/release records show compliance.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-033,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Staging shall use separate database, secrets, mail interception and synthetic/anonymized data.",Environment-isolation test passes.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-034,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Administrative/system-health endpoints shall require privileged auth and avoid disclosing host internals.,Unauthenticated request receives no version/path/resource details.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-035,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"Backup and restore artifacts shall be access-restricted, checksummed and encrypted for any offline copy.",Quarterly drill includes confidentiality/integrity checks.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-036,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,"A security incident runbook shall define detect, contain, preserve, notify, recover and review responsibilities.",Tabletop exercise passes before go-live.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,SEC-037,SEC,Oghenemaro,security_privacy_governance,Threat-model and authorization matrix review,Production acceptance shall include independent code review or penetration testing proportionate to the application.,No unresolved critical/high issue; medium issues have approved disposition.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,NFR-001,NFR,Oghenemaro,non_functional_operations_governance,Capacity/performance budget review,Routine authenticated list/detail pages shall achieve p95 server response ≤2.0 seconds and p99 ≤4.0 seconds under the defined 11-user load.,Load report with endpoint percentiles and error rate.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,NFR-002,NFR,Oghenemaro,non_functional_operations_governance,Capacity/performance budget review,Routine create/update actions shall achieve p95 ≤2.5 seconds.,Transaction timing report on representative records.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,NFR-003,NFR,Oghenemaro,non_functional_operations_governance,Capacity/performance budget review,Public forms and portal core pages shall achieve p95 ≤2.5 seconds under mixed load.,Mixed anonymous/authenticated load test.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,NFR-004,NFR,Oghenemaro,non_functional_operations_governance,Capacity/performance budget review,The application shall sustain 15 concurrent active sessions with <1% application error rate and no resource-limit failure.,Capacity test; 20-session stress identifies safe failure behavior.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,NFR-005,NFR,Oghenemaro,non_functional_operations_governance,Capacity/performance budget review,"No HTTP endpoint shall perform unbounded bulk email, export, import, archive, model training or batch scoring.",Code review and execution-time fixtures.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,NFR-006,NFR,Oghenemaro,non_functional_operations_governance,Capacity/performance budget review,Common detail pages shall meet a documented database query budget; N+1 queries are release defects.,Query-count tests and profiling.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
S00,NFR-007,NFR,Oghenemaro,non_functional_operations_governance,Capacity/performance budget review,Pagination is mandatory for potentially unbounded lists.,Boundary tests on every list.,docs/test-evidence/s00-freeze-product-policy-and-company-configuration/review-evidence.md,Later build step implementation must preserve this S00 baseline and add executable tests before VERIFIED.,Not started,Mapped for S00 governance baseline
