step_id,audience,route,name,purpose,components,api_dependencies,server_query,mutations,state_handling,authorization,accessibility,p95_server_ms,max_db_queries,max_compressed_kb,success_criteria
S18,Staff,/work/tasks/{id},Task detail,Complete an obligation with structured outcome and linked customer context.,TaskHeader; OutcomeForm; SourceContext; TaskHistory,GET /work-queue; GET/POST/PATCH /tasks; POST task commands; GET/POST /activities,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,"Edit, complete, cancel, snooze, delegate",Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Task + source object scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1200,22,650,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1200 ms, SQL count ≤22, compressed transfer ≤650 KB; empty, invalid, conflict and dependency-failure states are useful."
S18,Staff,/work/approvals,Approval queue,"Review quote, message, workflow, model and sensitive-operation approvals.",ApprovalTable; DeadlineBadges; SnapshotDiff,GET /approval-requests; GET /approval-requests/{id}; POST /approval-requests/{id}/decision,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Open/decide request,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Reviewer capability and request scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1300,20,700,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1300 ms, SQL count ≤20, compressed transfer ≤700 KB; empty, invalid, conflict and dependency-failure states are useful."
S18,Staff,/work/approvals/{id},Approval decision,Inspect immutable request snapshot and record approve/reject/request-change.,ApprovalHeader; SnapshotViewer; DiffPanel; DecisionForm,GET /approval-requests; GET /approval-requests/{id}; POST /approval-requests/{id}/decision,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Record immutable decision,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Reviewer + four-eyes constraints,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1300,22,700,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1300 ms, SQL count ≤22, compressed transfer ≤700 KB; empty, invalid, conflict and dependency-failure states are useful."
S18,Staff,/work/calendar,CRM calendar,"View due tasks, renewals, onboarding milestones and SLA reminders without external calendar.",CalendarToolbar; DayWeekMonthGrid; AccessibleAgenda,GET /calendar,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Open work; reschedule where policy permits,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Actor scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,18,850,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤18, compressed transfer ≤850 KB; empty, invalid, conflict and dependency-failure states are useful."
S16,Staff,/search,Universal search,"Find permitted customers, contacts, leads, opportunities, tickets, cases and message subjects.",SearchBox; TypeFilters; ResultsByType; KeyboardNavigator,GET /search; POST /search,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Open result; save bounded search,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Permission filtering before counts,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1800,20,750,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1800 ms, SQL count ≤20, compressed transfer ≤750 KB; empty, invalid, conflict and dependency-failure states are useful."
S18,Staff,/notifications,Notifications,Review deduplicated alerts and acknowledge them.,NotificationList; SeverityFilter; AcknowledgeAction,Server-rendered view; API selected from implementation matrix by capability,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Acknowledge/open,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Own or team notification scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1100,14,500,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1100 ms, SQL count ≤14, compressed transfer ≤500 KB; empty, invalid, conflict and dependency-failure states are useful."
S14,Staff,/customers,Customer organizations,"List canonical organizations with lifecycle, owner, health and next action.",CustomerFilters; OrganizationTable; SavedViews; CreateButton,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/update/open customer,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer record scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,800,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤800 KB; empty, invalid, conflict and dependency-failure states are useful."
S14,Staff,/customers/new,Create organization,Create a canonical organization after duplicate preview.,OrganizationForm; DuplicateCandidatePanel; ConsentNotice,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create after confirm-existing/new decision,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,create_organization capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,18,550,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤18, compressed transfer ≤550 KB; empty, invalid, conflict and dependency-failure states are useful."
S16,Staff,/customers/{id},Customer 360 overview,"Provide one trustworthy summary of identity, owner, active obligations, commercial status, health, next action and alerts.",CustomerHeader; LifecycleBadge; OwnerCard; NextActionCard; AlertStack; SummaryTabs,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Update permitted header fields; create action/note,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field policy,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1600,35,1000,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1600 ms, SQL count ≤35, compressed transfer ≤1000 KB; empty, invalid, conflict and dependency-failure states are useful."
S16,Staff,/customers/{id}/timeline,Timeline,"Chronological normalized messages, calls, notes, tasks, stage changes, support, onboarding, feedback, files and automation.",TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Context-specific create/update commands,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field sensitivity,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,35,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤35, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S16,Staff,/customers/{id}/sales,Sales tab,"Show leads, opportunities, quotes, outcomes and commercial stage history.",TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Context-specific create/update commands,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field sensitivity,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,25,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤25, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S16,Staff,/customers/{id}/onboarding,Onboarding tab,"Show active/completed onboarding cases, requests, blockers and progress.",TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Context-specific create/update commands,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field sensitivity,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,25,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤25, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S16,Staff,/customers/{id}/support,Support tab,"Show open/recent tickets, SLA state and recurring causes.",TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Context-specific create/update commands,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field sensitivity,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,25,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤25, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S16,Staff,/customers/{id}/feedback,Feedback tab,"Show survey requests/responses, themes and recovery.",TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Context-specific create/update commands,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field sensitivity,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,25,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤25, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S16,Staff,/customers/{id}/success,Success tab,"Show health reasons, plans, renewals, churn/win-back and advocacy.",TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Context-specific create/update commands,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field sensitivity,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,25,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤25, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S11,Staff,/customers/{id}/files,Files tab,Show classified private files with upload/download audit.,TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Context-specific create/update commands,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field sensitivity,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,25,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤25, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S17,Staff,/customers/{id}/governance,Governance tab,"Show consent, preferences, holds, privacy cases and legal hold.",TabHeader; FilterBar; SourceLinkedCards; TimelineOrTable; PermissionLabels,GET/POST/PATCH /organizations; GET /organizations/{id}/overview; GET /organizations/{id}/timeline; customer subresources,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Context-specific create/update commands,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Customer object + field sensitivity,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,25,950,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤25, compressed transfer ≤950 KB; empty, invalid, conflict and dependency-failure states are useful."
S14,Staff,/contacts,Contacts,List canonical contacts across organization relationships without embedding employment identity.,ContactFilters; ContactTable; RelationshipBadges,"GET/POST/PATCH /contacts; contact points, relationships, consent and preferences",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create/update/open contact,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Contact record scope,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1400,20,750,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1400 ms, SQL count ≤20, compressed transfer ≤750 KB; empty, invalid, conflict and dependency-failure states are useful."
S14,Staff,/contacts/new,Create contact,"Create contact, points and relationship after identity checks.",ContactForm; ContactPointRepeater; RelationshipForm; DuplicatePanel,"GET/POST/PATCH /contacts; contact points, relationships, consent and preferences",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Create contact and atomic relationship,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,create_contact capability,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1600,20,650,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1600 ms, SQL count ≤20, compressed transfer ≤650 KB; empty, invalid, conflict and dependency-failure states are useful."
S14,Staff,/contacts/{id},Contact detail,"Manage canonical person identity, contact points, organization roles, consent and history.",ContactHeader; RelationshipTimeline; ContactPoints; ConsentSummary; ActivityList,"GET/POST/PATCH /contacts; contact points, relationships, consent and preferences",Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,"Update fields, points, relationships and preferences",Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,Contact object + field policy,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1500,30,850,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1500 ms, SQL count ≤30, compressed transfer ≤850 KB; empty, invalid, conflict and dependency-failure states are useful."
S17,Staff,/duplicates,Duplicate review,Review exact/fuzzy evidence and perform safe previewed merge only with approval.,CandidateTable; EvidenceComparison; ConflictGrid; MergePreview; DecisionDialog,GET /duplicate-candidates; POST /duplicate-candidates/{id}/decision; merge preview/execute,Use permission-scoped selector; select only visible fields; select_related current owner/state; prefetch only bounded visible child sets; cursor paginate unbounded lists.,Accept/reject/not-duplicate; execute merge,Skeleton or progress indicator for HTMX fragments; explicit empty state with next permitted action; field-level and summary validation; branded non-disclosing error with correlation ID; 412 conflict view shows changed fields and safe refresh/reapply.,merge capability + step-up,Semantic landmarks/headings; keyboard-first; visible focus; status text plus icon; error summary; 200% zoom and 360px reflow; no drag-only interaction; live regions only for important async state.,1700,28,1000,"Authorized user completes the primary journey without hidden data or mouse-only steps; unauthorized objects/counts never appear; server p95 ≤1700 ms, SQL count ≤28, compressed transfer ≤1000 KB; empty, invalid, conflict and dependency-failure states are useful."
