requirement_id,group,requirement,production_behavior_or_acceptance,acceptance_evidence,priority,owner,design_component,implementation_issue,test_case_ids,evidence_link,status,exception
STM-04,STM,An active lifecycle record shall require an owner and next action except where a documented waiting state supplies a wake-up date.,,Nightly integrity checks create exceptions for violations.,,,,,,,Not started,
STM-05,STM,Waiting-for-customer states shall pause only the applicable SLA clock and shall preserve total elapsed time.,,"SLA reports distinguish company time, customer-wait time and total elapsed time.",,,,,,,Not started,
STM-06,STM,Terminal states shall require an outcome reason and may trigger retention/feedback/hand-off workflows.,,A record cannot close without configured outcome data.,,,,,,,Not started,
STM-07,STM,Reopening shall retain the prior terminal event and create a new active interval.,,Reopened support and commercial records remain analytically distinct.,,,,,,,Not started,
STM-08,STM,"Automations shall evaluate the committed transition event, not uncommitted form input.",,No workflow is triggered when the database transaction rolls back.,,,,,,,Not started,
IAM-001,IAM,Staff account creation is invitation-only and available only to authorized administrators.,"An invitation has intended email, role, expiry, single-use token and issuer; no public staff registration route exists.",Attempted self-registration is unavailable; expired/reused tokens fail; invitation acceptance is audited.,,,,,,,Not started,
IAM-002,IAM,Portal identities are created only from an authorized contact and organization relationship.,Portal access is bound server-side to contact and organization; reassignment requires approval.,Cross-organization object IDs return no data and generate a security event.,,,,,,,Not started,
IAM-003,IAM,Usernames use normalized verified email addresses while internal immutable user IDs preserve history.,Email changes require re-verification and do not rewrite historical authorship.,"Old/new addresses, actor and verification time appear in audit.",,,,,,,Not started,
IAM-004,IAM,Password policy shall use Django-compatible strong hashing and compromised/common-password controls.,Scrypt is preferred when runtime support passes preflight; otherwise PBKDF2-SHA256 with approved iteration settings.,"Password tests verify hash upgrade, history policy where configured and no plaintext logging.",,,,,,,Not started,
IAM-005,IAM,"TOTP multi-factor authentication is mandatory for owner, administrator and manager roles and configurable for all staff.","Enrollment displays a locally generated secret/QR, verifies two codes and issues hashed single-use recovery codes.",Privileged login without enrolled MFA is blocked after grace period; recovery use is audited.,,,,,,,Not started,
IAM-006,IAM,"Authentication shall resist enumeration, brute force and credential stuffing.","Uniform responses, per-account/IP database-backed throttles, progressive delay and administrative unlock are implemented.",Automated tests verify thresholds and that valid user existence is not disclosed.,,,,,,,Not started,
IAM-007,IAM,"Sessions shall be server-side, secure and individually revocable.","Cookies are Secure, HttpOnly and SameSite; session list shows device summary, created/last-used time and revocation.","Password reset, role reduction and user disable revoke relevant sessions.",,,,,,,Not started,
IAM-008,IAM,Privileged actions shall require recent authentication or MFA step-up.,"Exports, security changes, destructive merges, model promotion and retention overrides check an authentication-age policy.",Stale sessions are redirected to step-up without losing intended action context.,,,,,,,Not started,
IAM-009,IAM,"Roles and capabilities shall be explicit, least-privilege and configurable only through controlled administration.",Permission bundles are versioned; dangerous capability combinations are highlighted.,"Role changes take effect immediately, are audited and cannot grant beyond actor authority.",,,,,,,Not started,
IAM-010,IAM,"Record scope shall support own, team, shared queue, specifically granted and company-wide access.","A central authorization service applies scope to list, search, detail, export and mutation paths.","Authorization matrix tests cover direct URL, search, export and background-job access.",,,,,,,Not started,
IAM-011,IAM,"Field-level sensitivity shall restrict private notes, financial fields, consent evidence and security data.",Forms and views omit unauthorized fields rather than merely hiding with CSS.,Direct POST attempts cannot write restricted fields.,,,,,,,Not started,
IAM-012,IAM,"Staff absence delegation shall be time-bounded, scoped and reversible.",Delegation can cover work queues without changing historical owner; expiry is automatic.,"Delegated work, actor and effective interval are auditable.",,,,,,,Not started,
IAM-013,IAM,User deactivation shall run a controlled offboarding workflow.,"Open ownership, approvals, scheduled work and portal grants are inventoried and reassigned before disable completes.",No active object remains assigned to an inactive user unless explicitly exempted.,,,,,,,Not started,
IAM-014,IAM,Account recovery shall use single-use expiring links and administrative identity verification policy.,Recovery does not reveal account status and revokes existing sessions after password change.,Replay and expiry tests pass; events are recorded.,,,,,,,Not started,
IAM-015,IAM,Security-relevant account events shall notify configured administrators without exposing secrets.,"Events include repeated lockout, MFA reset, role elevation, recovery-code exhaustion and portal-isolation failure.",Notification delivery and acknowledgement are visible in the security queue.,,,,,,,Not started,
IAM-016,IAM,"Impersonation shall be disabled by default and, if enabled for support, tightly controlled.","Requires named capability, reason, step-up, visible banner, short expiry and full dual-actor audit.",Impersonated actions cannot alter security settings or erase evidence.,,,,,,,Not started,
IAM-017,IAM,Emergency owner recovery shall use a documented break-glass process.,A one-time offline recovery code or cPanel-assisted procedure is stored outside normal application UI.,Quarterly recovery drill validates access without bypassing audit.,,,,,,,Not started,
IAM-018,IAM,"Terms, privacy notice and acceptable-use acknowledgements shall be versioned for staff and portal users where required.","Acceptance stores document version, time, user and source.",Updated mandatory terms block applicable use until acknowledged.,,,,,,,Not started,
CRM-001,CRM,The system shall maintain one canonical organization record per real customer/prospect entity.,"Normalized name, domain, phone, address and external reference keys support duplicate detection.",Creating a likely duplicate displays candidates and requires confirm/create/merge decision.,,,,,,,Not started,
CRM-002,CRM,The system shall maintain canonical contact records that may relate to one or more organizations.,"Each relationship has role, status, decision influence, primary flag and effective dates.",A contact’s history remains intact when employment/relationship changes.,,,,,,,Not started,
CRM-003,CRM,"Organization and contact identifiers shall be immutable, non-sequential public-safe values.",Opaque UUID/ULID identifiers are used in links and references; internal database keys are not authorization.,Enumeration tests cannot expose adjacent records.,,,,,,,Not started,
CRM-004,CRM,"Names, emails, phones, domains and addresses shall be normalized while original display values are retained.","Normalization is deterministic, locale-aware where necessary and versioned if rules change.",Duplicate search and exact matching use normalized fields with test fixtures.,,,,,,,Not started,
CRM-005,CRM,"Email and telephone values shall be typed, verified where possible, prioritized and independently suppressible.","A value records label, normalized value, primary status, verification state and last failure.",Invalid primary changes and duplicate values are rejected or resolved.,,,,,,,Not started,
CRM-006,CRM,Customer lifecycle status shall be derived from operational records and may have a controlled manual override.,"Derived reasons are visible; override requires reason, expiry/review date and authorized role.",Nightly integrity checks flag contradictory states.,,,,,,,Not started,
CRM-007,CRM,Consent and communication preferences shall be purpose- and channel-specific.,"Evidence stores source, wording/version, timestamp, lawful-purpose classification and withdrawal.",Outbound guards evaluate effective preference before queuing any message.,,,,,,,Not started,
CRM-008,CRM,A global do-not-contact state shall override all optional outreach while preserving required service notices.,"Each message template is classified as transactional, service, relationship or promotional.",Tests prove precedence across workflow and manual-send paths.,,,,,,,Not started,
CRM-009,CRM,Customer 360 shall aggregate all permitted lifecycle information without duplicating source records.,"Summary cards link to source objects; timeline events carry source, actor, visibility and timestamp.",Deleting/editing source records updates derived views while audit remains.,,,,,,,Not started,
CRM-010,CRM,"Staff shall create structured notes with visibility, category and optional follow-up.","Internal, restricted and portal-visible classes are explicit; rich text is sanitized.",Visibility is enforced server-side and changes are audited.,,,,,,,Not started,
CRM-011,CRM,"Files shall be private, classified and linked to an owning business record.","Metadata includes randomized path, original name, MIME, size, SHA-256, uploader, classification and retention.",Direct public URL access fails; download authorization and audit tests pass.,,,,,,,Not started,
CRM-012,CRM,"File upload shall enforce extension/MIME allowlists, size limits and safe download headers.","Executables, scripts, macros and ambiguous types are rejected; risky previews are disabled.",Security test corpus cannot execute active content through the application.,,,,,,,Not started,
CRM-013,CRM,"Custom fields shall be admin-defined with type, validation, visibility, searchability and lifecycle scope.",Definition versions preserve historical meaning; deletion becomes retirement when data exists.,Invalid values and unauthorized field exposure are prevented.,,,,,,,Not started,
CRM-014,CRM,Tags shall be governed rather than free-form sprawl.,"Tags have owner, purpose, permitted object types, active/retired status and merge capability.",Duplicate/case-variant tags are prevented and retired tags remain historical.,,,,,,,Not started,
CRM-015,CRM,Potential duplicates shall be generated from exact and fuzzy signals with explainable reasons.,Signals include normalized email/phone/domain/name/address and relationship overlap.,Suggestions show matched fields and confidence; no automatic merge occurs.,,,,,,,Not started,
CRM-016,CRM,"Merge shall provide a preview, field-level conflict choices and downstream impact.","Transactions re-parent safe relationships, preserve aliases and write a merge map.",A failed merge rolls back fully; selected merges are reversible before compaction.,,,,,,,Not started,
CRM-017,CRM,The system shall support privacy/data-subject cases without assuming a jurisdiction.,"Case types include access, correction, restriction, deletion, objection and portability; deadlines are configurable.","Case completion requires evidence, approvals and export/delete report.",,,,,,,Not started,
CRM-018,CRM,"Legal hold shall suspend deletion/archival for specified people, organizations or records.","Hold has reason, authority, scope, start/end and review; access is restricted.",Retention jobs skip held records and report them.,,,,,,,Not started,
CRM-019,CRM,Contact ownership and account teams shall be explicit.,Primary account owner plus role-based collaborators are supported with effective dates.,Access changes follow assignment and remain auditable.,,,,,,,Not started,
CRM-020,CRM,A contact preference center shall be available through a signed expiring link.,"The page exposes only permitted preferences, verifies token purpose and writes evidence.",Token tampering/expiry tests pass; changes immediately affect send guards.,,,,,,,Not started,
CRM-021,CRM,Address and region data shall support service delivery without over-collecting.,Required components are configurable; free-form address is retained where structured parsing is unreliable.,Forms collect only configured fields and reports avoid exposing unnecessary details.,,,,,,,Not started,
CRM-022,CRM,Customer data changes shall use optimistic concurrency.,Records include a version value; stale submissions receive a conflict view.,Concurrent edit tests prove no silent last-write-wins loss.,,,,,,,Not started,
CRM-023,CRM,"Records shall support soft deletion, restoration and policy-driven final purge.","Soft-deleted records are excluded by default, retain references and require reason.",Restore and final purge produce complete audit and dependency reports.,,,,,,,Not started,
CRM-024,CRM,Sensitive field access shall be auditable when policy marks a field as restricted.,View/download events are recorded without logging the sensitive value itself.,"Audit reviewers can identify actor, record, purpose and time.",,,,,,,Not started,
CRM-025,CRM,The system shall calculate a customer data-completeness profile.,Required attributes vary by lifecycle; missing/invalid/stale data becomes an actionable exception.,Dashboard drills from quality score to exact records/fields.,,,,,,,Not started,
LED-001,LED,"Leads shall be created from internal entry, authenticated/public web forms, inbound email, CSV import and referral.",Each source adapter maps to the same validated intake service and records source/campaign evidence.,Equivalent payloads create equivalent lead records and domain events.,,,,,,,Not started,
LED-002,LED,"Public lead forms shall be configurable, rate-limited and protected without mandatory external CAPTCHA.","Honeypot, minimum-fill-time, IP/session throttles, payload limits and server validation are applied.",Automated abuse tests are rejected while legitimate submissions succeed.,,,,,,,Not started,
LED-003,LED,Lead intake shall run duplicate and existing-customer checks before assignment.,Exact email/phone and organization/domain matches are surfaced; duplicate policy is configurable.,A duplicate does not silently create a second active sequence.,,,,,,,Not started,
LED-004,LED,"Lead assignment shall support deterministic rules, capacity-aware round-robin and manual override.",Rule evaluation stores matched rule/version and fallback; unavailable staff are skipped.,Simulation fixtures prove assignment outcomes and no lead remains ownerless.,,,,,,,Not started,
LED-005,LED,Each source and priority shall define a first-response SLA.,"SLA uses business calendar, starts at accepted intake and ends at meaningful human response.","Timers, warning and breach events match test calendar cases.",,,,,,,Not started,
LED-006,LED,Permitted leads shall receive an immediate controlled acknowledgement.,"Acknowledgement is transactional, names expected response window and respects suppression/hard-bounce guards.",Outbox idempotency prevents duplicate acknowledgement on replay.,,,,,,,Not started,
LED-007,LED,Qualification shall use structured configurable criteria plus notes.,"Fields include need, fit, authority/stakeholders, budget range, timing, urgency, service interest and constraints.",Stage transition validation requires configured evidence.,,,,,,,Not started,
LED-008,LED,Lead engagement shall distinguish customer reply from passive delivery/open signals.,Meaningful inbound reply changes state and stops generic sequence; open tracking is disabled by default.,Reply ingestion reliably cancels future generic steps.,,,,,,,Not started,
LED-009,LED,A lead shall always have a next action or an approved wake-up date.,Integrity rule runs on every transition and nightly; missing action becomes an exception.,Active lead cannot be saved into an unowned/no-action condition.,,,,,,,Not started,
LED-010,LED,"Follow-up sequences shall be selected by source, service interest, stage and consent.",Sequence enrolment stores version and eligibility facts; no silent re-enrolment after exit.,Simulation shows exact messages/tasks/dates and stop conditions.,,,,,,,Not started,
LED-011,LED,Stale leads shall be surfaced before they become abandoned.,Staleness varies by state and priority; escalation first returns work to owner then manager.,Dashboard and notifications identify elapsed time and required resolution.,,,,,,,Not started,
LED-012,LED,Disqualification shall require structured reason and optional reconsideration date.,"Reasons include poor fit, invalid, duplicate, no authority, no timing, unavailable service and policy restriction.",Disqualification immediately exits active outreach.,,,,,,,Not started,
LED-013,LED,"Nurture shall be a controlled low-frequency state, not a dumping ground.","Requires reason, next review date, permitted communication purpose and owner.","Nurture volume, aging and conversion are reportable.",,,,,,,Not started,
LED-014,LED,"Conversion shall create/link canonical organization, contact and opportunity atomically.",Field mapping preview resolves identity conflicts; source and lead history remain linked.,Any failure rolls back all created/linked objects.,,,,,,,Not started,
LED-015,LED,Lead scoring shall show rule/model reasons and never block staff review.,"Score includes freshness, fit, engagement and completeness; low confidence causes abstention.",A user can inspect feature snapshot and provide correctness feedback.,,,,,,,Not started,
LED-016,LED,"Lead-source attribution shall preserve original, latest and converting source where known.",Source events are append-only and do not overwrite original acquisition evidence.,"Reports can distinguish first-touch, last-touch and self-reported source.",,,,,,,Not started,
LED-017,LED,"Lead bulk operations shall be permissioned, previewed and bounded.","Assignment/tag/status actions cap selection size, validate each record and emit a result report.",Partial failures do not hide unsuccessful records or bypass automation guards.,,,,,,,Not started,
LED-018,LED,Lead response and conversion outcomes shall feed process and model evaluation.,"Outcome data includes response time, qualification, conversion, loss reason and owner actions.",Nightly aggregates reconcile to source records.,,,,,,,Not started,
SAL-001,SAL,Pipelines and stages shall be versioned and scoped by service or business process.,"Stages define order, probability guidance, required fields, SLA, allowed transitions and entry/exit rules.",Changing a pipeline creates a new version and does not rewrite history.,,,,,,,Not started,
SAL-002,SAL,"Every active opportunity shall have owner, organization/contact, stage, expected value, close date and next action.","Validation applies at create, transition, import and automation paths.",Integrity job reports and prevents unresolved violations.,,,,,,,Not started,
SAL-003,SAL,"Opportunity stakeholders shall record role, influence, sentiment and decision responsibility.","Contacts can be buyer, user, technical reviewer, approver or blocker with effective dates.",Opportunity view shows missing decision roles as a risk.,,,,,,,Not started,
SAL-004,SAL,"Products and services shall use a governed catalogue with active dates, SKU/code, pricing guidance and onboarding template mapping.",Retired items remain on history but cannot be newly selected.,Won handoff resolves exact catalogue version.,,,,,,,Not started,
SAL-005,SAL,Opportunity value shall support base and transaction currency with recorded exchange-rate source/manual value.,No live external rate API is assumed; authorized staff enter or configure periodic rates.,Forecast calculations are reproducible from stored values.,,,,,,,Not started,
SAL-006,SAL,Stage transition shall require configured exit evidence.,"Examples include discovery completeness, solution confirmation, approved quote and commit evidence.",Direct URL/API/form attempts cannot bypass transition guard.,,,,,,,Not started,
SAL-007,SAL,Stage history shall record elapsed business/clock time and reason for backward movement.,Every move is append-only; correction uses a controlled corrective event.,Velocity reports reconcile to stage events.,,,,,,,Not started,
SAL-008,SAL,"Opportunity risk shall include staleness, missing stakeholder, overdue action, quote expiry, unresolved objection and negative service/feedback signals.",Reasons are visible and ordered; user can acknowledge or correct facts.,Risk refresh produces deterministic fixtures for rules mode.,,,,,,,Not started,
SAL-009,SAL,Quotes/proposals shall be versioned business records with immutable issued snapshots.,"Drafts can change; issue freezes line items, taxes/discounts, terms, expiry and document checksum.",Issued version can be reproduced and prior versions remain accessible.,,,,,,,Not started,
SAL-010,SAL,"Discount, exception and high-value quote thresholds shall require configured approval.","Approval captures requester, reviewer, decision, reason and expiry; approver cannot approve own request where four-eyes applies.",Unauthorized issue is blocked and approval path is tested.,,,,,,,Not started,
SAL-011,SAL,Customer-facing quote delivery shall use signed links or controlled attachments and capture delivery evidence.,"Link expiry, view/download evidence and resend rules are stored without invasive tracking.",Expired/tampered links fail and do not leak other documents.,,,,,,,Not started,
SAL-012,SAL,Quote expiry shall create owner action and optionally send approved reminder within communication policy.,"Reminder stops on reply, acceptance, rejection, opportunity closure or suppression.",Replay cannot send duplicate reminder.,,,,,,,Not started,
SAL-013,SAL,Forecast categories shall be explicit and not inferred solely from stage.,"Pipeline, upside, commit, closed and excluded categories have permissioned changes and reason.",Forecast report can reconcile each amount to record and category history.,,,,,,,Not started,
SAL-014,SAL,Won transition shall be atomic and idempotent.,"It freezes outcome facts, creates customer/onboarding/success objects, assigns owners and emits one won event.",Repeated transition attempts do not duplicate onboarding or messages.,,,,,,,Not started,
SAL-015,SAL,Won handoff shall require commercial and delivery information.,"Required handoff includes purchased items, promised outcomes, contacts, dates, constraints, documents and open risks.",Onboarding owner can reject incomplete handoff back to sales with reason.,,,,,,,Not started,
SAL-016,SAL,Lost/no-decision transition shall require structured outcome evidence.,"Reason, competitor where relevant, decision timing, recoverability and feedback eligibility are recorded.","Loss analysis reports distinguish fit, process, price, timing and no-decision.",,,,,,,Not started,
SAL-017,SAL,"Paused opportunities shall require review date, reason and communication plan.",Promotional workflows pause; wake-up task is durable.,No paused opportunity remains beyond review date without escalation.,,,,,,,Not started,
SAL-018,SAL,"Opportunity collaboration shall support internal notes, tasks, files and approvals without exposing restricted content to portal users.",Visibility is explicit per artifact.,Portal authorization tests cannot access internal artifacts.,,,,,,,Not started,
SAL-019,SAL,"Manager pipeline review shall surface exceptions and data quality, not only totals.","Views include no next action, stale stage, slipped close date, expired quote, unconfirmed value and risk trend.",Each exception drills to actionable records.,,,,,,,Not started,
SAL-020,SAL,"Opportunity probability shall show whether it is stage guidance, staff override or model estimate.",Override requires reason; model estimate never silently changes committed forecast category.,Forecast evidence identifies source and version.,,,,,,,Not started,
SAL-021,SAL,Commercial record deletion shall be restricted after issued quote or financial outcome.,Correction uses reversal/amendment events; purge follows retention authority.,Audit and reports preserve historical totals.,,,,,,,Not started,
SAL-022,SAL,Sales outcomes shall feed automation and intelligence evaluation.,"Won/lost/no-decision, cycle time, stage progression, response and override data are captured.",Evaluation jobs use immutable outcome timestamps and avoid future-data leakage.,,,,,,,Not started,
ACT-001,ACT,"The system shall provide a unified work queue for tasks, replies, approvals, SLA exceptions, low-feedback recovery, renewals and automation failures.","Each item has source object, severity, owner/queue, due time, state and deep link.",Queue counts reconcile to source records and are permission-filtered.,,,,,,,Not started,
ACT-002,ACT,"Tasks shall require a subject, owner, due time or policy-approved no-date status, priority and linked context.",Task types may require structured outcome fields.,"Invalid tasks cannot be created through UI, import or automation.",,,,,,,Not started,
ACT-003,ACT,Recurring tasks shall use explicit recurrence rules and create bounded future instances.,Completion and skipped occurrences are distinct; recurrence can be ended without rewriting history.,"DST, month-end and missed-run fixtures pass.",,,,,,,Not started,
ACT-004,ACT,"Reminders shall be durable scheduled jobs, not browser timers.","Reminder delivery is idempotent, retryable and visible in job history.",Browser closure or application restart does not lose reminders.,,,,,,,Not started,
ACT-005,ACT,"Staff shall log calls, meetings and channel-assisted contacts with outcome and next step.","Channel, participants, direction, duration, summary, outcome and consent-relevant result are captured.",A completed contact can update last meaningful interaction and automation exits.,,,,,,,Not started,
ACT-006,ACT,Inbound customer replies shall generate or update actionable queue items until acknowledged.,"Thread ownership, urgency and lifecycle context determine routing.",Multiple messages in one thread do not create uncontrolled duplicate tasks.,,,,,,,Not started,
ACT-007,ACT,"Tasks shall support completion, cancellation, delegation and policy-bounded snooze with reason.",State transitions are audited; snooze cannot bypass hard SLA without escalation.,Overdue metrics use original and current due dates.,,,,,,,Not started,
ACT-008,ACT,"Approvals shall be first-class work items with request snapshot, policy, reviewer and deadline.",Approve/reject/request-change decisions are immutable events with comments.,A changed underlying object invalidates stale approval where policy requires.,,,,,,,Not started,
ACT-009,ACT,"Shared queues shall support claim, assignment and release without race conditions.",Claim uses atomic update/lock; queue membership is role-governed.,Two users cannot simultaneously claim the same item.,,,,,,,Not started,
ACT-010,ACT,Manager escalation shall be event-driven and deduplicated.,"Escalation records original owner, elapsed breach, prior reminders and required decision.",Repeated cron runs update one escalation rather than creating duplicates.,,,,,,,Not started,
ACT-011,ACT,Daily digests shall summarize actionable exceptions using permission-aware content.,"Digest generation caps items, links to saved views and omits sensitive details from subject lines.",Unsubscribed optional digest does not suppress mandatory security notices.,,,,,,,Not started,
ACT-012,ACT,Calendar views shall display CRM work without requiring an external calendar service.,Day/week/month views use company timezone and business calendar.,DST and user timezone display tests pass.,,,,,,,Not started,
ACT-013,ACT,"Bulk task actions shall be capped, previewed and individually validated.",Mixed success produces a downloadable result report.,Authorization and workflow hooks execute per object.,,,,,,,Not started,
ACT-014,ACT,A task or activity may be marked private/restricted according to field policy.,"Restricted summaries do not appear in unauthorized search, timeline or exports.",Permission tests cover direct links and report aggregation.,,,,,,,Not started,
ACT-015,ACT,Activity corrections shall preserve the original event and author.,Corrections create a version/amendment with reason instead of silent overwrite after lock period.,Audit view reconstructs original and current presentation.,,,,,,,Not started,
ACT-016,ACT,"Workload dashboards shall show capacity, aging and blocked work by person/team.",Counts exclude completed/cancelled work and explain shared-queue treatment.,Dashboard totals reconcile to work queue filters.,,,,,,,Not started,
COM-001,COM,Outbound email shall use configured Truehost SMTP mailboxes with per-mailbox credentials stored as environment secrets.,The system validates connection settings through an administrator test and never exposes passwords.,Credential errors create a system incident without logging secret values.,,,,,,,Not started,
COM-002,COM,Inbound email shall be polled from configured Truehost IMAP mailboxes by bounded cron command.,"Each message is identified by mailbox, UID and Message-ID; processed state is durable.",Re-polling the same mailbox cannot duplicate message records or actions.,,,,,,,Not started,
COM-003,COM,"Email threading shall use Message-ID, In-Reply-To, References and controlled reply-address tokens.",Fallback matching uses normalized participants and bounded subject/time logic with confidence.,Fixtures attach replies to the correct conversation and flag ambiguity for review.,,,,,,,Not started,
COM-004,COM,Sending shall use a transactional outbox and idempotency key.,Business transaction creates outbox record; sender claims and transmits later; provider response is stored.,Crash/retry tests do not produce duplicate sends.,,,,,,,Not started,
COM-005,COM,The outbox shall prioritize security/service messages over relationship follow-up while honoring global rate caps.,Priority lanes still obey mailbox health and provider throttle.,Load test confirms 60/hour internal ceiling and fair processing.,,,,,,,Not started,
COM-006,COM,"Templates shall be versioned, typed by communication purpose and scoped by lifecycle/channel.","Each version stores subject/body, variables, classification, owner, review status and active dates.",Sent messages retain the exact rendered version.,,,,,,,Not started,
COM-007,COM,Template variables shall use an allowlist with typed fallback rules.,Missing required variables block send and create a visible exception; arbitrary code/expression execution is prohibited.,Security tests cannot access unauthorized attributes or execute template injection.,,,,,,,Not started,
COM-008,COM,Customer-facing HTML shall be sanitized and accompanied by a plain-text alternative.,Local assets are embedded/linked safely; no external tracking scripts or fonts.,Message preview and test inbox show both parts and safe markup.,,,,,,,Not started,
COM-009,COM,Controlled draft assembly shall combine approved blocks rather than generative free text.,"Greeting, context, answer, next-step and signature blocks are selected by rules/classification and remain editable before approval.",Draft records identify every source block and staff modifications.,,,,,,,Not started,
COM-010,COM,Manual send and automated send shall pass the same communication-policy guard.,"Guard checks recipient validity, purpose consent, DNC, bounce, complaint, low-feedback hold, quiet hours and frequency caps.",A direct-send attempt cannot bypass suppression.,,,,,,,Not started,
COM-011,COM,"Suppression shall be channel-, address- and purpose-aware with a global override.",Hard bounce suppresses address; unsubscribe suppresses purpose; global DNC suppresses optional contact.,Precedence tests cover conflicting preferences.,,,,,,,Not started,
COM-012,COM,"One-click unsubscribe links shall be signed, purpose-specific, single-recipient and tamper-resistant.",The confirmation page records evidence and offers permitted preference choices.,Unsubscribe takes effect before any next outbox claim.,,,,,,,Not started,
COM-013,COM,"Bounce and delivery-failure handling shall classify hard, soft, policy and transient failures.",Hard failures suppress; soft failures retry with limits; ambiguous notices enter review.,Synthetic DSN messages produce expected state and task.,,,,,,,Not started,
COM-014,COM,Replies shall immediately stop or pause configured outbound sequences.,The inbound transaction emits a reply event after message/customer match; future jobs are cancelled idempotently.,A reply received between scheduling and send causes final policy guard to cancel the message.,,,,,,,Not started,
COM-015,COM,Complaint or negative-intent classification shall create recovery work and suppress promotional outreach.,Low-confidence classifications require human confirmation; severe explicit phrases may trigger immediate hold.,Recovery and hold appear within one polling/cron interval.,,,,,,,Not started,
COM-016,COM,"Message approval shall be configurable by template, risk, audience, value and staff role.",Approval locks a rendered snapshot; material edits invalidate it.,Unapproved high-risk draft cannot enter send-ready state.,,,,,,,Not started,
COM-017,COM,Attachments shall be selected from authorized private files and revalidated at send time.,"Size/type, customer association, retention and visibility are checked.",Unauthorized or deleted file blocks send and records reason.,,,,,,,Not started,
COM-018,COM,Inbound attachments shall be quarantined logically until validation completes.,"Files receive randomized names, safe classification and no inline execution; disallowed types are withheld.",User sees validation state and cannot download rejected active content.,,,,,,,Not started,
COM-019,COM,The CRM shall not implement a mass mailing or purchased-list campaign feature.,"Recipient selection is record/workflow based, capped and relationship-specific.",No UI/API can enqueue an arbitrary large address list.,,,,,,,Not started,
COM-020,COM,Open tracking shall be disabled by default and not required for any workflow or score.,"If enabled after policy approval, it uses a transparent first-party pixel and is classified separately.",Core follow-up functions correctly with all open data absent.,,,,,,,Not started,
COM-021,COM,Click tracking shall be disabled by default; signed application links may record necessary portal/quote actions.,No general URL rewriting service is used.,Message links remain human-readable and safe.,,,,,,,Not started,
COM-022,COM,Staging and test environments shall intercept all outbound customer email.,Only an allowlisted test domain/mailbox may receive; headers identify original intended recipient.,Automated release test proves no production customer address is reachable.,,,,,,,Not started,
COM-023,COM,Mailbox health shall be monitored by internal checks.,"Last successful connect, poll, send, UID state, latency and failure count are recorded.",Stale mailbox health creates an administrator incident.,,,,,,,Not started,
COM-024,COM,Message bodies and raw source shall follow storage budgets and archival policy.,Recent searchable metadata stays in DB; large/raw bodies may be compressed to private filesystem with checksum.,Archived messages remain retrievable through authorized view.,,,,,,,Not started,
